Name,Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,KBBRate,AVG,WHIP,BABIP,LOBRate,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Yusei Kikuchi,TOR,9.28,5.63,1.65,1.13,24.3%,14.7%,9.6%,.181,1.28,.215,73.4%,88,119,111,3.38,4.53,-1.15,4.25,4.50,20633
Hyun-Jin Ryu,TOR,5.50,1.50,3.67,1.50,14.5%,3.9%,10.5%,.288,1.33,.305,60.6%,157,119,104,6.00,4.53,1.47,3.98,4.25,14444
Cole Irvin,OAK,5.86,2.28,2.57,1.30,15.9%,6.2%,9.7%,.238,1.16,.253,87.6%,83,122,108,2.93,4.54,-1.61,4.16,4.26,19244
Raisel Iglesias,LAA,11.20,2.63,4.25,1.98,31.5%,7.4%,24.1%,.184,0.95,.207,61.2%,125,116,91,4.61,4.55,0.06,3.53,2.61,17130
Madison Bumgarner,ARI,5.35,3.57,1.50,1.02,14.3%,9.5%,4.8%,.211,1.19,.222,82.4%,56,120,132,2.29,4.56,-2.27,5.13,5.19,5524
Ty Blach,COL,6.16,2.37,2.60,1.42,16.7%,6.4%,10.3%,.247,1.21,.263,58.5%,125,113,111,5.68,4.56,1.12,4.26,3.99,14361
Nick Lodolo,CIN,11.66,3.07,3.80,1.84,27.5%,7.2%,20.3%,.290,1.57,.375,76.9%,131,114,81,5.52,4.59,0.93,3.06,3.07,26378
Bailey Falter,PHI,5.25,1.50,3.50,1.50,14.0%,4.0%,10.0%,.271,1.25,.282,82.0%,93,116,117,3.75,4.59,-0.84,4.50,4.43,20070
Mitch Keller,PIT,7.64,3.57,2.14,1.27,18.6%,8.7%,9.9%,.283,1.56,.327,64.0%,161,119,115,6.37,4.59,1.78,4.44,4.30,17594
Ashton Goudeau,COL,6.43,3.21,2.00,1.29,15.6%,7.8%,7.8%,.322,1.71,.362,51.9%,155,113,124,7.07,4.59,2.48,4.81,4.39,15139
Joey Krehbiel,BAL,5.94,3.78,1.57,1.08,16.4%,10.4%,6.0%,.200,1.14,.213,61.7%,86,113,109,3.24,4.59,-1.35,4.19,4.09,13707
Felix Bautista,BAL,10.13,3.94,2.57,1.69,27.7%,10.8%,16.9%,.224,1.25,.270,94.9%,75,113,103,2.81,4.59,-1.78,3.97,3.46,20666
Reid Detmers,LAA,6.23,2.60,2.40,1.30,17.9%,7.5%,10.4%,.172,0.89,.172,65.4%,112,118,114,4.15,4.62,-0.46,4.38,4.37,27468
Steven Wilson,SDP,10.20,3.00,3.40,1.80,27.4%,8.1%,19.4%,.214,1.13,.250,79.7%,109,121,99,4.20,4.62,-0.42,3.78,3.10,20353
Ian Anderson,ATL,6.25,4.50,1.39,1.00,16.2%,11.7%,4.5%,.221,1.33,.243,75.5%,92,122,120,3.75,4.65,-0.90,4.63,4.96,19951
Nick Martinez,SDP,9.35,3.89,2.40,1.56,25.0%,10.4%,14.6%,.242,1.33,.291,82.9%,101,122,96,3.89,4.65,-0.75,3.68,3.76,12730
Ryan Tepera,LAA,6.75,4.67,1.44,1.04,18.8%,13.0%,5.8%,.167,1.10,.178,55.6%,126,119,124,4.67,4.65,0.03,4.75,4.68,10291
Zach Thompson,PIT,6.89,4.02,1.71,1.15,16.9%,9.9%,7.0%,.252,1.47,.283,60.4%,123,121,118,4.88,4.65,0.23,4.54,4.68,16094
Jose Urquidy,HOU,5.35,1.07,5.00,1.60,13.5%,2.7%,10.8%,.322,1.49,.342,77.5%,134,123,124,4.81,4.66,0.15,4.74,4.65,18413
Mark Melancon,ARI,3.38,3.38,1.00,0.68,7.8%,7.8%,0.0%,.345,1.88,.365,48.8%,182,123,135,7.43,4.66,2.76,5.25,4.93,4264
Kirby Snead,OAK,6.35,5.56,1.14,0.79,13.6%,11.9%,1.7%,.385,2.38,.442,62.5%,247,126,154,8.74,4.68,4.06,5.85,5.32,19179
Trevor Rogers,MIA,8.42,3.72,2.27,1.49,20.9%,9.2%,11.7%,.272,1.51,.318,69.3%,136,125,107,5.20,4.69,0.52,4.10,4.19,22286
Blake Taylor,HOU,3.95,4.61,0.86,0.66,9.8%,11.5%,-1.6%,.222,1.39,.234,79.5%,92,124,141,3.29,4.70,-1.41,5.37,5.51,16418
Andrew Kittredge,TBR,6.50,0.50,13.00,2.00,19.7%,1.5%,18.2%,.200,0.78,.188,95.2%,86,129,93,3.00,4.70,-1.70,3.58,3.17,12828
Jose Berrios,TOR,6.15,2.85,2.15,1.32,15.3%,7.1%,8.2%,.286,1.49,.313,75.1%,126,124,124,4.83,4.72,0.11,4.75,4.75,14168
German Marquez,COL,7.58,2.61,2.91,1.66,18.9%,6.5%,12.4%,.299,1.53,.339,58.9%,135,117,93,6.16,4.75,1.41,3.56,3.77,15038
Hansel Robles,BOS,6.28,3.77,1.67,1.26,17.2%,10.3%,6.9%,.173,1.05,.175,65.6%,65,126,120,2.51,4.76,-2.25,4.59,4.45,11801
Robert Suarez,SDP,10.47,4.41,2.38,1.65,29.2%,12.3%,16.9%,.161,1.04,.176,72.5%,100,126,96,3.86,4.80,-0.95,3.69,3.30,30115
Domingo Acevedo,OAK,8.20,1.93,4.25,1.93,22.4%,5.3%,17.1%,.254,1.18,.280,86.2%,109,131,98,3.86,4.86,-1.00,3.78,3.31,17092
Chase De Jong,PIT,5.52,3.07,1.80,1.23,15.0%,8.3%,6.7%,.148,0.89,.140,80.4%,46,126,140,1.84,4.86,-3.02,5.45,4.89,15036
Dakota Hudson,STL,4.95,4.28,1.16,0.90,13.1%,11.3%,1.8%,.238,1.35,.256,77.4%,94,130,123,3.60,4.86,-1.26,4.74,5.01,19206
Michael Pineda,DET,4.84,1.61,3.00,1.61,13.6%,4.5%,9.1%,.238,1.07,.235,87.0%,87,128,120,3.22,4.88,-1.66,4.60,4.68,5372
Chris Flexen,SEA,6.64,2.75,2.42,1.60,17.6%,7.3%,10.3%,.257,1.30,.276,78.2%,124,132,118,4.35,4.92,-0.57,4.51,4.45,13896
Aaron Civale,CLE,8.71,2.61,3.33,1.74,20.8%,6.3%,14.6%,.290,1.52,.337,46.9%,212,131,116,7.84,4.93,2.91,4.42,3.99,19479
Anthony Gose,CLE,12.19,5.23,2.33,1.74,31.1%,13.3%,17.8%,.211,1.35,.273,65.6%,142,131,112,5.23,4.93,0.30,4.29,3.45,5097
Gregory Soto,DET,8.74,6.35,1.38,0.79,21.6%,15.7%,5.9%,.244,1.59,.310,75.3%,86,130,145,3.18,4.94,-1.77,5.51,4.68,19677
Tanner Banks,CHW,6.50,3.50,1.86,1.50,17.6%,9.5%,8.1%,.209,1.17,.216,65.5%,82,127,111,3.00,4.98,-1.98,4.28,4.19,16990
Zach Plesac,CLE,5.35,2.79,1.92,1.40,13.8%,7.2%,6.6%,.261,1.34,.274,68.0%,120,133,126,4.42,5.00,-0.58,4.81,4.87,19979
Taylor Hearn,TEX,9.40,4.85,1.94,1.52,22.5%,11.6%,10.9%,.283,1.69,.345,75.6%,150,132,107,5.46,5.01,0.45,4.13,4.29,18325
Garrett Richards,TEX,9.49,5.11,1.86,1.46,25.0%,13.5%,11.5%,.227,1.38,.276,65.8%,160,133,112,5.84,5.04,0.80,4.28,4.00,9784
Dallas Keuchel,CHW,5.54,5.19,1.07,1.04,12.5%,11.7%,0.8%,.319,1.96,.351,64.1%,152,130,126,5.54,5.09,0.45,4.82,5.06,9434
Jake Diekman,BOS,12.83,7.43,1.73,1.35,31.7%,18.3%,13.3%,.191,1.50,.269,88.5%,70,136,112,2.70,5.11,-2.41,4.31,3.95,5003
Jake Lemoine,OAK,7.15,3.97,1.80,1.59,17.6%,9.8%,7.8%,.239,1.41,.257,60.6%,157,138,122,5.56,5.12,0.44,4.66,4.31,19785
Josiah Gray,WSN,9.55,3.74,2.56,1.87,25.3%,9.9%,15.4%,.230,1.27,.264,81.5%,107,131,110,4.36,5.12,-0.76,4.24,4.01,24580
Chase Silseth,LAA,8.71,3.48,2.50,1.74,23.3%,9.3%,14.0%,.184,1.06,.192,97.8%,71,132,92,2.61,5.12,-2.51,3.54,3.68,30074
James Kaprielian,OAK,8.00,5.00,1.60,1.50,21.1%,13.2%,7.9%,.197,1.28,.213,74.5%,127,139,118,4.50,5.15,-0.65,4.52,4.70,18331
Tyler Beede,- - -,3.86,5.40,0.71,0.77,8.9%,12.5%,-3.6%,.306,1.89,.326,82.5%,100,139,149,3.86,5.15,-1.29,5.81,5.78,16981
Kutter Crawford,BOS,11.81,6.75,1.75,1.69,25.5%,14.5%,10.9%,.319,2.16,.419,59.4%,219,137,129,8.44,5.15,3.29,4.92,4.18,20531
Jandel Gustave,MIL,10.38,3.46,3.00,2.08,25.0%,8.3%,16.7%,.241,1.38,.278,74.3%,137,133,104,5.54,5.17,0.37,3.98,3.25,14665
Jhoulys Chacin,COL,7.79,4.67,1.67,1.56,19.7%,11.8%,7.9%,.239,1.44,.265,38.5%,183,127,109,8.31,5.17,3.14,4.20,4.21,2608
Daniel Norris,CHC,12.00,4.50,2.67,2.25,33.3%,12.5%,20.8%,.167,1.08,.174,56.8%,148,133,81,6.00,5.17,0.83,3.08,2.93,13475
Mychal Givens,CHC,12.91,4.11,3.14,2.35,32.8%,10.4%,22.4%,.237,1.37,.303,97.6%,87,134,83,3.52,5.18,-1.65,3.14,2.67,10430
Sean Reid-Foley,NYM,7.20,6.30,1.14,0.90,18.2%,15.9%,2.3%,.194,1.40,.222,66.2%,144,137,150,5.40,5.19,0.21,5.83,5.19,17034
Mark Leiter,CHC,8.76,5.11,1.71,1.46,21.8%,12.7%,9.1%,.255,1.54,.303,64.0%,162,134,112,6.57,5.20,1.37,4.33,4.37,15551
Jacob Barnes,DET,4.80,1.80,2.67,1.80,13.3%,5.0%,8.3%,.228,1.07,.217,76.3%,114,137,112,4.20,5.22,-1.02,4.29,4.16,12323
Aaron Sanchez,WSN,4.76,2.38,2.00,1.59,11.9%,5.9%,5.9%,.340,1.68,.359,53.9%,195,134,116,7.94,5.25,2.69,4.49,4.64,11490
Anthony Bender,MIA,8.36,3.21,2.60,1.93,21.3%,8.2%,13.1%,.309,1.57,.359,85.1%,118,141,92,4.50,5.30,-0.80,3.51,3.26,19742
Matt Bush,TEX,11.93,2.51,4.75,2.51,28.8%,6.1%,22.7%,.233,1.26,.270,76.4%,121,140,83,4.40,5.32,-0.93,3.24,2.65,1246
Tyler Danish,BOS,9.00,1.50,6.00,2.25,23.5%,3.9%,19.6%,.234,1.08,.250,64.8%,136,142,80,5.25,5.34,-0.09,3.13,2.68,15126
Ronald Bolanos,KCR,6.19,5.63,1.10,1.13,15.5%,14.1%,1.4%,.250,1.56,.277,90.5%,75,145,133,2.81,5.40,-2.59,5.08,4.94,20041
Cristopher Sanchez,PHI,8.76,4.38,2.00,1.46,21.8%,10.9%,10.9%,.217,1.30,.250,67.9%,144,137,116,5.84,5.44,0.40,4.46,3.72,20778
Vince Velasquez,CHW,7.71,3.58,2.15,1.93,19.0%,8.8%,10.2%,.271,1.50,.296,69.7%,158,140,122,5.79,5.45,0.34,4.66,4.48,11189
Hunter Strickland,CIN,6.89,8.04,0.86,0.57,15.6%,18.2%,-2.6%,.262,1.91,.313,71.9%,136,135,164,5.74,5.45,0.29,6.39,5.84,7836
Joan Adon,WSN,7.61,5.65,1.35,1.23,18.1%,13.5%,4.7%,.259,1.64,.299,67.2%,157,139,131,6.38,5.46,0.92,5.09,5.01,22925
Josh Rogers,WSN,5.31,3.10,1.71,1.77,14.1%,8.2%,5.9%,.231,1.23,.226,72.2%,120,140,129,4.87,5.50,-0.63,4.99,4.91,18510
Kyle Hendricks,CHC,6.34,3.08,2.06,1.81,16.5%,8.0%,8.5%,.255,1.33,.265,76.4%,121,142,121,4.89,5.51,-0.61,4.67,4.65,12049
Tyler Matzek,ATL,8.44,7.59,1.11,0.84,21.3%,19.1%,2.1%,.167,1.41,.200,57.7%,124,144,157,5.06,5.53,-0.46,6.13,5.37,10058
Phil Maton,HOU,6.00,2.50,2.40,1.50,14.8%,6.2%,8.6%,.268,1.33,.286,80.6%,111,148,132,4.00,5.59,-1.59,5.04,4.31,18064
Glenn Otto,TEX,6.66,4.81,1.38,1.48,16.7%,12.0%,4.6%,.247,1.48,.268,71.0%,152,148,126,5.55,5.60,-0.05,4.83,5.05,21366
J.B. Wendelken,ARI,6.00,4.50,1.33,1.50,14.5%,10.9%,3.6%,.292,1.67,.316,65.9%,165,148,115,6.75,5.67,1.08,4.43,4.40,14506
Jonathan Loaisiga,NYY,8.40,6.00,1.40,1.80,22.6%,16.1%,6.5%,.212,1.40,.229,71.4%,148,151,116,5.40,5.82,-0.42,4.42,4.55,19753
Chris Archer,MIN,8.20,4.78,1.71,2.05,20.7%,12.1%,8.6%,.225,1.41,.236,83.9%,111,153,123,4.10,5.82,-1.72,4.70,4.67,6345
Matt Brash,SEA,8.55,7.65,1.12,1.35,20.0%,17.9%,2.1%,.312,2.05,.382,66.1%,218,158,124,7.65,5.84,1.81,4.72,5.25,25756
Genesis Cabrera,STL,6.88,2.65,2.60,2.12,18.1%,6.9%,11.1%,.215,1.12,.208,97.4%,69,155,111,2.65,5.85,-3.21,4.26,3.70,17490
Art Warren,CIN,9.22,5.93,1.56,1.98,23.0%,14.8%,8.2%,.269,1.68,.314,69.1%,156,145,110,6.59,5.87,0.72,4.23,4.28,18251
Carlos Hernandez,KCR,4.85,6.07,0.80,1.21,10.7%,13.4%,-2.7%,.344,2.16,.370,57.2%,242,158,161,9.10,5.89,3.21,6.10,6.06,22713
Miguel Yajure,PIT,3.48,5.23,0.67,0.87,7.5%,11.3%,-3.8%,.356,2.13,.375,48.7%,286,152,174,11.32,5.90,5.43,6.78,5.87,21111
Marco Gonzales,SEA,5.68,3.79,1.50,1.89,14.1%,9.4%,4.7%,.268,1.50,.273,76.9%,88,160,126,3.08,5.91,-2.83,4.81,4.98,15467
Dylan Coleman,KCR,12.06,8.62,1.40,1.72,29.2%,20.8%,8.3%,.161,1.53,.188,67.3%,107,160,133,4.02,5.96,-1.94,5.07,4.71,22276
Bryan Shaw,CLE,3.86,3.86,1.00,1.54,10.0%,10.0%,0.0%,.250,1.37,.243,70.4%,146,160,140,5.40,6.00,-0.60,5.32,5.02,8110
Tyler Alexander,DET,6.57,3.65,1.80,2.19,15.3%,8.5%,6.8%,.315,1.78,.333,44.9%,237,158,128,8.76,6.01,2.75,4.87,4.88,17735
Emilio Pagan,MIN,11.37,7.11,1.60,2.13,27.1%,16.9%,10.2%,.204,1.58,.233,94.9%,58,158,105,2.13,6.01,-3.88,4.03,4.17,14771
Nathan Eovaldi,BOS,9.07,1.51,6.00,3.02,23.7%,4.0%,19.8%,.260,1.22,.265,89.5%,112,161,86,4.32,6.02,-1.70,3.35,3.27,9132
Ryan Brasier,BOS,10.05,1.88,5.33,3.14,25.4%,4.8%,20.6%,.300,1.47,.333,78.6%,163,161,99,6.28,6.02,0.26,3.81,3.14,5615
Will Smith,ATL,7.88,3.94,2.00,2.25,20.9%,10.4%,10.4%,.153,1.00,.122,43.9%,82,158,123,3.38,6.09,-2.71,4.75,4.05,8048
Ryan Thompson,TBR,7.53,3.14,2.40,2.51,19.7%,8.2%,11.5%,.232,1.26,.225,64.5%,126,168,107,4.40,6.09,-1.69,4.11,3.75,16647
Trevor Richards,TOR,10.06,4.24,2.38,2.65,25.7%,10.8%,14.9%,.242,1.41,.262,82.4%,125,162,103,4.76,6.09,-1.32,3.98,3.51,19309
Spenser Watkins,BAL,4.20,4.50,0.93,1.50,10.2%,10.9%,-0.7%,.277,1.60,.280,70.5%,136,152,152,5.10,6.12,-1.02,5.76,5.75,17489
Mike Mayers,LAA,7.36,3.07,2.40,2.45,19.0%,7.9%,11.1%,.228,1.23,.220,82.1%,133,161,122,4.91,6.23,-1.32,4.67,4.11,15451
Bryce Elder,ATL,5.68,6.63,0.86,1.42,13.8%,16.1%,-2.3%,.250,1.68,.263,79.9%,116,162,144,4.74,6.25,-1.51,5.58,5.91,27779
Jose Suarez,LAA,8.15,6.11,1.33,2.04,18.8%,14.1%,4.7%,.288,1.87,.321,76.6%,165,162,134,6.11,6.26,-0.15,5.12,5.23,19911
Nick Sandlin,CLE,5.40,7.43,0.73,1.35,14.0%,19.3%,-5.3%,.174,1.43,.167,80.2%,91,169,154,3.38,6.31,-2.94,5.82,6.12,20517
Zack Littell,SFG,8.56,1.32,6.50,3.29,22.4%,3.4%,19.0%,.304,1.39,.316,91.7%,136,172,83,5.27,6.38,-1.11,3.15,2.93,15823
T.J. McFarland,STL,4.85,3.46,1.40,2.08,11.9%,8.5%,3.4%,.358,1.85,.372,57.7%,235,169,121,9.00,6.40,2.60,4.68,4.59,3237
Matthew Festa,SEA,15.00,3.75,4.00,3.75,37.7%,9.4%,28.3%,.250,1.42,.304,90.0%,149,174,70,5.25,6.42,-1.17,2.74,2.16,19330
Kolby Allard,TEX,6.30,2.70,2.33,2.70,17.1%,7.3%,9.8%,.237,1.20,.214,76.9%,148,172,103,5.40,6.49,-1.09,3.98,4.08,18694
Elieser Hernandez,MIA,8.02,3.21,2.50,2.67,19.5%,7.8%,11.7%,.259,1.43,.263,64.9%,161,172,129,6.15,6.51,-0.36,4.99,4.43,16933
Carlos Estevez,COL,5.40,3.86,1.40,2.31,13.2%,9.4%,3.8%,.313,1.71,.316,82.3%,119,159,131,5.40,6.52,-1.12,5.08,4.87,14542
Hunter Greene,CIN,11.88,5.40,2.20,2.97,28.6%,13.0%,15.6%,.241,1.56,.269,77.1%,148,163,114,6.21,6.63,-0.42,4.38,3.98,22182
Beau Brieske,DET,5.13,3.76,1.36,2.39,13.2%,9.6%,3.5%,.233,1.33,.210,75.4%,139,176,145,5.13,6.66,-1.53,5.52,5.42,26079
Reiver Sanmartin,CIN,5.51,4.96,1.11,2.20,12.0%,10.8%,1.2%,.378,2.27,.400,38.2%,327,165,126,13.78,6.70,7.07,4.88,5.10,19754
Tyler Gilbert,ARI,7.53,2.51,3.00,3.14,20.3%,6.8%,13.6%,.218,1.12,.184,88.9%,123,176,109,5.02,6.79,-1.76,4.19,4.04,17964
Travis Lakins Sr.,BAL,6.97,5.23,1.33,2.61,16.0%,12.0%,4.0%,.326,1.94,.344,59.5%,256,184,147,9.58,7.35,2.23,5.59,4.89,18600
Vladimir Gutierrez,CIN,6.58,6.58,1.00,2.08,14.8%,14.8%,0.0%,.311,1.96,.333,65.8%,206,185,166,8.65,7.51,1.14,6.49,5.80,19278
Caleb Smith,ARI,10.80,6.00,1.80,3.60,25.4%,14.1%,11.3%,.246,1.67,.243,72.3%,176,204,131,7.20,7.89,-0.69,5.09,4.23,14875
Heath Hembree,PIT,6.75,6.08,1.11,3.38,16.1%,14.5%,1.6%,.283,1.80,.263,70.6%,204,217,146,8.10,8.49,-0.39,5.69,5.36,11632
Kris Bubic,KCR,6.75,7.43,0.91,3.38,14.7%,16.2%,-1.5%,.333,2.25,.333,47.8%,342,243,154,12.83,8.94,3.89,5.83,5.94,21455
Dauri Moreta,CIN,10.54,3.95,2.67,4.61,25.4%,9.5%,15.9%,.273,1.54,.250,60.6%,235,224,130,9.88,9.16,0.72,5.04,3.91,21101
Adam Oller,OAK,6.75,6.75,1.00,3.68,14.5%,14.5%,0.0%,.328,2.18,.319,48.8%,347,256,167,12.27,9.36,2.91,6.31,5.84,20132
