Name,Team,W,L,ERA,G,GS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,playerid
Yimi Garcia,TOR,0,2,3.60,16,0,0,0,0,8,2,15.0,61,12,7,6,1,3,0,2,0,0,10,12095
Noe Ramirez,ARI,0,1,3.63,19,0,0,0,0,8,0,17.1,67,12,8,7,2,6,1,1,0,0,15,12800
Hirokazu Sawamura,BOS,0,1,3.65,15,0,0,0,0,1,0,12.1,51,11,6,5,1,5,1,0,1,0,11,27515
Amir Garrett,KCR,1,0,3.65,14,0,0,0,0,0,0,12.1,49,3,5,5,0,10,0,1,3,1,14,14375
Joe Jimenez,DET,1,0,3.68,16,0,0,0,0,3,0,14.2,60,11,6,6,2,5,0,0,0,0,15,15761
Giovanny Gallegos,STL,0,2,3.68,15,0,0,0,8,0,2,14.2,59,13,7,6,1,4,0,0,2,0,17,14986
Brent Suter,MIL,1,0,3.75,12,0,0,0,0,1,0,12.0,53,12,6,5,1,7,0,0,0,0,9,13942
Daniel Bard,COL,1,2,3.77,15,0,0,0,10,0,2,14.1,61,10,7,6,2,5,0,2,2,0,20,7115
Luis Garcia,SDP,2,2,3.77,15,0,0,0,0,7,1,14.1,62,14,9,6,0,4,0,0,5,0,15,6984
Kyle Finnegan,WSN,1,0,3.77,15,0,0,0,0,5,0,14.1,57,11,8,6,2,5,0,0,0,1,16,15009
Tyler Rogers,SFG,0,1,3.78,18,0,0,0,0,8,1,16.2,68,15,7,7,0,4,0,2,1,0,10,15541
Tyler Beede,- - -,0,0,3.86,8,0,0,0,0,0,0,11.2,56,15,5,5,1,7,0,0,2,0,5,16981
Robert Suarez,SDP,2,1,3.86,15,0,0,0,1,3,2,16.1,65,9,8,7,3,8,0,1,1,0,19,30115
Hoby Milner,MIL,2,0,3.86,15,0,0,0,0,0,0,14.0,55,10,7,6,1,4,0,0,1,0,11,13346
Domingo Acevedo,OAK,0,1,3.86,18,0,0,0,0,5,3,18.2,76,18,8,8,4,4,0,1,0,1,17,17092
Liam Hendriks,CHW,1,2,3.93,18,0,0,0,12,0,3,18.1,81,20,10,8,3,5,1,1,3,0,28,3548
Jeurys Familia,PHI,1,0,3.95,15,0,0,0,0,5,2,13.2,60,14,7,6,2,7,0,0,0,0,14,5114
Phil Maton,HOU,0,1,4.00,17,0,0,0,0,5,1,18.0,81,19,9,8,3,5,1,5,0,0,12,18064
Reynaldo Lopez,CHW,4,1,4.02,13,0,0,0,0,2,1,15.2,60,13,8,7,0,4,0,0,1,0,11,16400
Dylan Coleman,KCR,1,1,4.02,17,0,0,0,0,1,0,15.2,72,9,11,7,3,15,1,1,1,0,21,22276
Tyler Duffey,MIN,1,2,4.11,15,0,0,0,1,5,2,15.1,61,16,7,7,3,3,0,0,0,0,14,13758
Cody Stashak,MIN,3,0,4.11,10,0,0,0,0,1,0,15.1,62,16,7,7,1,0,0,0,0,0,14,18088
Michael Rucker,CHC,0,0,4.20,8,0,0,0,0,0,0,15.0,61,13,7,7,2,5,0,0,3,0,15,19454
Jacob Barnes,DET,3,1,4.20,16,0,0,0,0,2,1,15.0,60,13,7,7,3,3,0,0,1,0,8,12323
Devin Williams,MIL,2,0,4.20,17,0,0,0,2,11,0,15.0,67,11,7,7,0,11,0,1,2,0,29,15816
Steven Wilson,SDP,3,1,4.20,15,0,0,0,1,5,2,15.0,62,12,7,7,3,5,0,1,3,0,17,20353
Collin McHugh,ATL,0,1,4.20,15,0,0,0,0,3,2,15.0,63,15,7,7,1,4,0,0,1,0,19,7531
Victor Arano,WSN,0,0,4.24,18,0,0,0,1,2,0,17.0,70,17,8,8,0,4,0,1,2,0,22,15915
Joely Rodriguez,NYM,0,2,4.26,14,0,0,0,0,4,0,12.2,51,7,7,6,1,7,0,0,0,0,16,11487
Adam Ottavino,NYM,2,1,4.30,16,0,0,0,0,3,1,14.2,66,13,7,7,1,6,1,1,3,0,23,1247
Nick Wittgren,STL,0,0,4.30,19,0,0,0,0,4,0,14.2,69,17,7,7,0,6,0,4,1,0,7,15594
Matt Bush,TEX,1,1,4.38,14,0,0,0,1,4,2,12.1,59,13,8,6,3,4,0,2,1,0,15,1246
Alex Colome,COL,1,0,4.38,13,0,0,0,2,3,1,12.1,61,19,10,6,0,7,1,0,0,0,7,6661
Corbin Martin,ARI,0,0,4.40,5,0,0,0,0,0,0,14.1,63,15,9,7,0,6,0,0,2,0,14,19884
Ryan Thompson,TBR,1,2,4.40,16,0,0,0,2,3,2,14.1,61,13,10,7,4,5,1,0,1,0,12,16647
Brett Martin,TEX,0,3,4.40,17,0,0,0,0,3,1,14.1,63,15,8,7,1,5,0,0,2,0,14,17369
Anthony Bender,MIA,1,3,4.50,16,0,0,0,6,1,2,14.0,61,17,7,7,3,5,0,1,1,0,13,19742
Brusdar Graterol,LAD,0,2,4.50,15,0,0,0,0,5,0,14.0,61,11,8,7,1,8,1,0,0,0,12,20367
Drew Hutchison,DET,0,3,4.60,10,0,0,0,0,0,0,15.2,72,12,9,8,1,12,1,0,0,0,15,10732
Raisel Iglesias,LAA,1,2,4.61,16,0,0,0,8,0,1,13.2,54,9,8,7,3,4,0,1,1,0,17,17130
Ryan Tepera,LAA,1,1,4.67,17,0,0,0,1,10,2,17.1,69,10,10,9,2,9,0,0,0,0,13,10291
Collin Snider,KCR,3,1,4.70,18,0,0,0,0,6,1,15.1,62,16,8,8,1,6,0,0,0,0,12,23307
Trevor Richards,TOR,1,0,4.76,17,0,0,0,0,5,0,17.0,74,16,10,9,5,8,0,0,0,0,19,19309
Seth Lugo,NYM,0,1,4.80,16,0,0,0,2,7,1,15.0,65,16,8,8,2,5,0,0,0,0,15,12447
Drew Steckenrider,SEA,0,1,4.85,14,0,0,0,2,4,1,13.0,60,17,7,7,1,5,0,0,0,0,9,18806
Mike Mayers,LAA,1,0,4.91,14,0,0,0,0,1,1,14.2,63,13,8,8,4,5,0,1,1,0,12,15451
Chris Stratton,PIT,2,1,5.02,16,0,0,0,2,4,2,14.1,68,19,10,8,0,5,1,0,1,0,14,13761
Caleb Smith,ARI,0,0,5.14,9,0,0,0,0,1,0,14.0,62,13,8,8,4,7,0,0,0,0,16,14875
Tanner Houck,BOS,2,1,5.14,5,0,0,0,0,0,0,14.0,57,9,8,8,2,6,0,1,1,0,16,19879
Tyler Danish,BOS,1,0,5.25,8,0,0,0,0,0,0,12.0,51,11,8,7,3,2,0,2,0,0,12,15126
Matthew Festa,SEA,0,0,5.25,11,0,0,0,0,1,0,12.0,53,12,8,7,5,5,0,0,1,0,20,19330
Zack Littell,SFG,0,1,5.27,13,0,0,0,0,2,0,13.2,58,17,8,8,5,2,0,0,0,0,13,15823
Jonathan Loaisiga,NYY,1,1,5.40,16,0,0,0,0,5,1,15.0,62,11,9,9,3,10,0,0,0,0,14,19753
Carlos Estevez,COL,1,1,5.40,14,0,0,0,0,2,0,11.2,53,15,7,7,3,5,0,0,1,0,7,14542
Bryan Shaw,CLE,1,0,5.40,16,0,0,0,0,3,0,11.2,50,11,7,7,2,5,0,1,0,0,5,8110
Bryan Baker,BAL,1,1,5.40,14,0,0,0,0,1,0,13.1,58,16,9,8,1,4,0,1,1,0,14,19804
Jandel Gustave,MIL,0,0,5.54,12,0,0,0,0,1,0,13.0,60,13,8,8,3,5,0,1,1,0,15,14665
Steve Cishek,WSN,0,1,5.65,17,0,0,0,0,3,1,14.1,70,17,9,9,2,6,1,3,1,0,19,6483
Ty Blach,COL,1,0,5.68,10,0,0,0,1,0,1,19.0,78,18,12,12,3,5,1,0,0,0,13,14361
Hunter Strickland,CIN,0,1,5.74,16,0,0,0,0,0,0,15.2,77,16,10,10,1,14,0,2,0,0,12,7836
Josh Winder,MIN,0,1,5.79,4,0,0,0,0,0,0,14.0,63,16,9,9,3,5,0,1,1,0,6,24606
Tony Santillan,CIN,0,0,5.84,13,0,0,0,2,3,1,12.1,57,13,8,8,1,5,0,4,2,0,15,19926
Paul Fry,BAL,0,0,6.00,12,0,0,0,0,1,0,12.0,54,9,9,8,1,7,0,2,2,0,12,15832
Ryan Brasier,BOS,0,2,6.28,18,0,0,0,0,4,1,14.1,63,18,10,10,5,3,0,0,1,0,16,5615
Caleb Thielbar,MIN,1,0,6.28,16,0,0,0,0,3,0,14.1,61,12,10,10,1,7,0,0,0,0,19,10078
Art Warren,CIN,2,1,6.59,15,0,0,0,1,1,2,13.2,61,14,10,10,3,9,0,0,0,0,14,18251
Buck Farmer,CIN,0,0,6.75,10,0,0,0,0,0,0,12.0,59,15,10,9,2,7,0,1,2,0,17,14814
Ashton Goudeau,COL,0,0,7.07,9,0,0,0,1,0,0,14.0,64,19,13,11,2,5,0,0,1,0,10,15139
Matt Barnes,BOS,0,3,7.11,15,0,0,0,1,0,1,12.2,58,14,13,10,1,6,1,1,2,0,10,12863
James Norwood,PHI,1,0,7.11,14,0,0,0,0,1,0,12.2,54,11,11,10,1,5,0,0,0,0,14,16440
Mark Melancon,ARI,0,5,7.43,16,0,0,0,8,0,1,13.1,64,20,14,11,1,5,0,1,0,0,5,4264
Heath Hembree,PIT,2,0,8.10,17,0,0,0,0,2,1,13.1,62,15,12,12,5,9,0,0,0,0,10,11632
Jhoulys Chacin,COL,3,1,8.31,13,0,0,0,0,2,0,17.1,76,16,17,16,3,9,0,0,0,0,15,2608
Austin Voth,WSN,0,0,8.44,17,0,0,0,0,1,0,16.0,79,28,16,15,3,5,0,0,2,0,16,15047
Dauri Moreta,CIN,0,0,8.78,14,0,0,0,0,1,0,13.1,60,13,13,13,6,6,0,2,0,0,15,21101
T.J. McFarland,STL,0,0,9.00,14,0,0,0,0,1,0,13.0,59,19,13,13,3,5,0,1,0,0,7,3237
Diego Castillo,SEA,1,0,9.00,16,0,0,0,2,0,0,13.0,66,20,15,13,1,8,1,0,1,0,12,17496
