"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Adam Ottavino","NYM","14.11","3.68","3.83","0.61","34.8%","9.1%","25.8%",".220","1.30",".343","69.9%","115","63","65","4.30","2.27","2.02","2.42","2.29","1247"
"Joel Payamps","KCR","7.36","1.96","3.75","0.00","20.3%","5.4%","14.9%",".246","1.15",".315","81.8%","39","58","96","1.47","2.27","-0.80","3.71","3.28","14332"
"Corbin Martin","ARI","8.79","3.77","2.33","0.00","22.2%","9.5%","12.7%",".263","1.47",".349","57.1%","108","65","103","4.40","2.39","2.00","3.94","3.73","19884"
"Eli Morgan","CLE","9.69","0.69","14.00","0.69","29.8%","2.1%","27.7%",".156","0.62",".200","65.8%","75","61","68","2.77","2.40","0.37","2.68","2.12","20203"
"Rafael Montero","HOU","9.92","2.20","4.50","0.55","28.6%","6.3%","22.2%",".186","0.92",".250","88.2%","15","61","67","0.55","2.42","-1.87","2.64","2.46","12760"
"Evan Phillips","LAD","11.15","2.35","4.75","0.59","32.2%","6.8%","25.4%",".167","0.85",".235","71.4%","76","65","82","2.93","2.44","0.50","3.13","2.37","17734"
"Emmanuel Clase","CLE","9.39","1.76","5.33","0.59","25.8%","4.8%","21.0%",".203","0.98",".262","51.5%","80","62","58","2.93","2.44","0.50","2.31","2.31","21032"
"Reynaldo Lopez","CHW","6.32","2.30","2.75","0.00","18.3%","6.7%","11.7%",".232","1.09",".289","52.9%","110","60","105","4.02","2.45","1.57","4.04","3.89","16400"
"Chris Martin","CHC","10.66","2.13","5.00","0.71","28.3%","5.7%","22.6%",".320","1.50",".441","85.2%","70","66","62","2.84","2.46","0.38","2.31","1.97","11847"
"Daniel Hudson","LAD","10.66","2.13","5.00","0.71","29.4%","5.9%","23.5%",".188","0.95",".250","66.0%","73","66","62","2.84","2.46","0.38","2.31","2.10","7146"
"Giovanny Gallegos","STL","10.43","2.45","4.25","0.61","28.8%","6.8%","22.0%",".236","1.16",".324","64.1%","96","68","84","3.68","2.48","1.21","3.20","2.71","14986"
"Keegan Akin","BAL","7.33","1.67","4.40","0.33","22.0%","5.0%","17.0%",".168","0.78",".208","86.7%","36","59","78","1.33","2.50","-1.16","3.04","2.84","19362"
"Zach Jackson","OAK","12.05","5.79","2.08","0.00","32.9%","15.8%","17.1%",".175","1.23",".289","70.8%","82","65","89","2.89","2.50","0.39","3.47","3.41","19493"
"Matt Foster","CHW","9.18","2.16","4.25","0.54","25.8%","6.1%","19.7%",".210","1.02",".273","76.9%","74","63","82","2.70","2.55","0.15","3.18","2.91","19647"
"Aaron Loup","LAA","9.18","1.08","8.50","0.54","26.2%","3.1%","23.1%",".131","0.60",".163","47.2%","44","63","75","1.62","2.55","-0.93","2.93","2.33","10343"
"Tim Mayza","TOR","9.00","1.38","6.50","0.69","25.5%","3.9%","21.6%",".224","1.00",".286","86.2%","54","65","46","2.08","2.55","-0.47","1.87","1.55","15042"
"David Robertson","CHC","13.15","4.15","3.17","0.69","38.8%","12.2%","26.5%",".070","0.69",".087","92.1%","34","68","70","1.38","2.55","-1.17","2.62","2.35","8241"
"Luis Cessa","CIN","6.91","2.51","2.75","0.00","20.4%","7.4%","13.0%",".163","0.84",".211","76.9%","45","67","101","1.88","2.60","-0.72","3.86","3.48","13345"
"Josh Staumont","KCR","12.64","4.02","3.14","0.57","31.9%","10.1%","21.7%",".230","1.34",".342","77.7%","92","68","88","3.45","2.64","0.80","3.41","2.89","18335"
"Corey Knebel","PHI","7.88","3.38","2.33","0.00","21.2%","9.1%","12.1%",".220","1.19",".289","65.0%","83","69","112","3.38","2.65","0.72","4.30","3.83","15010"
"Cody Poteet","MIA","7.71","3.86","2.00","0.00","22.2%","11.1%","11.1%",".161","0.98",".214","93.8%","14","73","96","0.55","2.66","-2.11","3.68","3.69","18769"
"Sam Moll","OAK","11.68","5.84","2.00","0.00","32.0%","16.0%","16.0%",".122","1.05",".200","92.9%","21","70","87","0.73","2.68","-1.95","3.36","3.43","14874"
"Nabil Crismatt","SDP","7.13","3.06","2.33","0.00","20.0%","8.6%","11.4%",".159","0.91",".204","82.4%","40","73","95","1.53","2.69","-1.17","3.64","3.45","17732"
"Matt Moore","TEX","10.71","6.05","1.77","0.00","26.7%","15.1%","11.6%",".205","1.45",".300","82.1%","51","70","99","1.86","2.73","-0.87","3.80","3.84","1890"
"Jeff Hoffman","CIN","8.69","2.75","3.17","0.46","24.1%","7.6%","16.5%",".219","1.12",".283","82.5%","43","70","112","1.83","2.73","-0.90","4.33","3.62","17432"
"Caleb Thielbar","MIN","11.93","4.40","2.71","0.63","31.1%","11.5%","19.7%",".222","1.33",".324","51.1%","170","72","94","6.28","2.81","3.47","3.64","3.06","10078"
"Chad Green","NYY","9.60","3.00","3.20","0.60","25.8%","8.1%","17.7%",".228","1.20",".300","72.3%","82","71","104","3.00","2.82","0.18","3.99","3.43","15552"
"Jimmy Herget","LAA","9.00","0.90","10.00","0.90","24.7%","2.5%","22.2%",".244","1.05",".304","72.9%","85","71","71","3.15","2.84","0.31","2.79","2.62","17556"
"Chasen Shreve","NYM","12.83","2.03","6.33","1.35","38.0%","6.0%","32.0%",".191","0.90",".269","76.1%","90","78","53","3.38","2.86","0.51","1.95","1.68","10855"
"Jorge Lopez","BAL","9.47","5.68","1.67","0.00","25.0%","15.0%","10.0%",".147","1.16",".208","77.3%","38","69","101","1.42","2.88","-1.46","3.90","3.99","14527"
"Wil Crowe","PIT","8.57","4.29","2.00","0.00","22.7%","11.4%","11.4%",".184","1.14",".250","69.2%","65","77","111","2.57","2.90","-0.33","4.29","3.88","19800"
"Will Vest","DET","11.65","2.12","5.50","1.06","36.7%","6.7%","30.0%",".127","0.65",".161","87.0%","57","74","62","2.12","2.91","-0.80","2.44","1.86","19769"
"Bryse Wilson","PIT","8.31","2.08","4.00","0.69","21.8%","5.5%","16.4%",".212","1.08",".256","55.6%","52","78","79","2.08","2.94","-0.86","3.00","2.86","19990"
"Jarlin Garcia","SFG","6.75","4.05","1.67","0.00","20.4%","12.2%","8.2%",".093","0.75",".121","80.0%","0","82","119","0.00","2.94","-2.94","4.60","4.33","18282"
