Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Aaron Fletcher,PIT,26,8,0,0,0,8.2,10,9,6,3,2,0,1,0,0,0,9.35,1.50
Yohan Ramirez,SEA,27,7,0,0,0,8.1,7,7,10,6,3,1,0,0,1,0,7.56,1.56
Austin Warren,LAA,26,7,0,0,0,8.1,8,4,5,5,1,2,0,0,1,0,4.32,1.56
Jesse Chavez,ATL,38,7,1,0,0,8.1,11,2,11,0,0,0,0,0,0,0,2.16,1.32
Clarke Schmidt,NYY,26,4,0,0,0,8.1,4,1,8,4,1,2,2,0,0,0,1.08,0.96
Dinelson Lamet,SD,29,10,0,0,0,8.1,10,9,10,7,2,0,1,0,0,1,9.72,2.04
Trevor May,NYM,32,8,0,0,0,8.1,13,8,5,3,2,1,0,1,0,2,8.64,1.92
Tyler Thornburg,ATL,33,8,0,0,0,8.1,12,4,8,3,0,0,0,0,0,0,4.32,1.80
Matt Manning,DET,24,2,2,0,0,8.0,6,2,4,0,1,0,0,0,0,0,2.25,0.75
Mitch White,LAD,27,4,0,0,0,8.0,7,4,8,2,0,0,0,0,0,0,4.50,1.13
Dennis Santana,TEX,26,10,0,0,0,8.0,3,1,2,2,0,0,1,0,0,5,1.13,0.63
John Means,BAL,29,2,2,0,0,8.0,8,3,7,2,0,0,0,0,0,0,3.38,1.25
Colin Poche,TB,28,9,0,0,0,8.0,4,2,6,2,2,0,0,0,0,6,2.25,0.75
Jake Cousins,MIL,27,8,0,0,0,8.0,8,4,13,5,1,2,1,0,1,0,4.50,1.63
Justin Bruihl,LAD,24,8,0,0,0,8.0,5,3,6,1,1,0,1,0,0,0,3.38,0.75
Yunior Marte,SF,27,8,0,0,0,7.2,7,6,7,2,1,0,0,0,0,0,7.04,1.17
Packy Naughton,STL,26,5,1,0,0,7.2,9,3,7,1,2,0,1,0,0,0,3.52,1.30
Roansy Contreras,PIT,22,3,0,0,0,7.2,4,3,10,3,1,1,0,0,0,1,3.52,0.91
Ethan Roberts,CHC,24,9,0,0,0,7.2,10,7,9,6,3,0,1,0,0,1,8.22,2.09
Wyatt Mills,SEA,27,6,0,0,0,7.2,3,1,5,0,0,0,0,0,0,0,1.17,0.39
Albert Abreu,TEX,26,6,0,0,0,7.2,4,3,8,11,2,0,0,0,0,0,3.52,1.96
Jose Urena,MIL,30,4,0,0,0,7.2,7,3,3,5,1,0,0,0,0,0,3.52,1.57
Tyler Danish,BOS,27,6,0,0,0,7.2,6,2,9,2,1,1,0,0,0,0,2.35,1.04
Hyun Jin Ryu,TOR,35,2,2,0,0,7.1,11,11,5,2,2,0,0,0,0,0,13.50,1.77
Anthony Banda,PIT,28,9,0,0,0,7.1,10,2,9,1,1,0,0,0,0,1,2.45,1.50
Ryan Yarbrough,TB,30,2,2,0,0,7.1,10,5,6,4,1,0,0,0,0,0,6.14,1.91
Mike Baumann,BAL,26,5,0,0,0,7.1,7,5,6,6,0,1,2,0,0,0,6.14,1.77
Anderson Severino,CWS,27,6,0,0,0,7.1,7,5,9,4,0,0,0,0,0,0,6.14,1.50
John Schreiber,BOS,28,6,0,0,0,7.0,3,0,6,0,0,0,0,1,0,1,0.00,0.43
Lou Trivino,OAK,30,9,0,0,0,7.0,10,7,8,5,1,0,2,2,1,0,9.00,2.14
Spencer Patton,TEX,34,7,0,0,0,7.0,4,3,5,3,1,0,0,0,0,1,3.86,1.00
Robert Gsellman,CHC,28,3,0,0,0,7.0,9,5,5,2,0,0,1,0,0,0,6.43,1.57
Robert Stephenson,COL,29,8,0,0,0,7.0,8,5,4,5,0,0,0,0,0,1,6.43,1.86
Lucas Sims,CIN,28,6,0,0,0,6.2,5,7,5,6,0,1,0,1,0,0,9.45,1.65
Shawn Armstrong,MIA,31,7,0,0,0,6.2,10,8,5,3,1,0,0,0,0,0,10.80,1.95
Huascar Ynoa,ATL,23,2,2,0,0,6.2,11,10,8,6,2,0,2,0,0,0,13.50,2.55
Jimmy Lambert,CWS,27,2,2,0,0,6.2,7,4,6,3,1,0,2,0,0,0,5.40,1.50
Anthony Castro,CLE,27,6,0,0,0,6.2,7,3,9,3,2,0,0,0,0,0,4.05,1.50
Spencer Howard,TEX,25,3,1,0,0,6.2,10,9,12,2,6,0,1,0,0,0,12.15,1.80
Ronel Blanco,HOU,28,7,0,0,0,6.1,8,5,7,4,1,0,0,0,0,0,7.11,1.89
Enyel De Los Santos,CLE,26,7,0,0,0,6.1,3,3,11,5,0,0,0,0,0,0,4.26,1.26
Ryan Pressly,HOU,33,7,0,0,0,6.1,6,3,3,2,1,1,1,4,2,0,4.26,1.26
Pierce Johnson,SD,31,6,0,0,0,6.0,6,3,11,4,0,0,1,0,0,5,4.50,1.67
Andrew Chafin,DET,31,8,0,0,0,6.0,7,2,8,1,0,0,0,0,0,2,3.00,1.33
Kyle Crick,CWS,29,7,0,0,0,6.0,5,4,5,7,0,1,0,0,0,2,6.00,2.00
Logan Allen,CLE,24,4,0,0,0,6.0,9,3,6,3,0,1,0,0,0,0,4.50,2.00
Chase Silseth,LAA,21,1,1,0,0,6.0,1,0,4,2,0,1,0,0,0,0,0.00,0.50
Sean Poppen,ARI,28,5,0,0,0,6.0,4,1,3,2,0,1,0,0,1,0,1.50,1.00
George Kirby,SEA,24,1,1,0,0,6.0,4,0,7,0,0,0,0,0,0,0,0.00,0.67
Ralph Garza,TB,28,3,0,0,0,6.0,4,4,1,4,1,0,0,0,1,0,6.00,1.33
Reyes Moronta,LAD,29,6,0,0,0,6.0,6,2,6,3,0,0,0,0,0,0,3.00,1.50
Ryan Burr,CWS,27,5,0,0,0,6.0,5,4,4,4,2,0,1,0,0,1,6.00,1.50
Tim Hill,SD,32,9,0,0,0,5.2,11,7,1,3,0,0,0,0,0,4,11.12,2.47
Jason Foley,DET,26,5,0,0,0,5.2,7,2,0,0,0,0,0,0,0,0,3.18,1.24
Phillip Diehl,CIN,27,5,0,0,0,5.2,8,7,3,3,3,0,0,0,0,0,11.12,1.94
Jesse Chavez,CHC,38,3,0,0,0,5.2,7,4,3,2,1,0,0,0,1,0,6.35,1.59
Jharel Cotton,MIN,30,3,0,0,0,5.2,3,0,6,6,0,0,0,0,0,0,0.00,1.59
Brady Singer,KC,25,3,0,0,0,5.2,7,4,6,1,1,0,0,0,0,0,6.35,1.41
Patrick Murphy,WAS,26,6,0,0,0,5.2,8,4,4,8,0,0,0,0,0,0,6.35,2.82
Sean Doolittle,WAS,35,6,0,0,0,5.1,1,0,6,0,0,0,0,0,0,2,0.00,0.19
Javy Guerra,TB,26,6,0,0,0,5.1,8,5,3,1,2,0,0,0,0,0,8.44,1.69
Parker Mushinski,HOU,26,5,0,0,0,5.1,5,3,7,1,0,0,0,0,0,0,5.06,1.13
Adrian Martinez,OAK,25,1,1,0,0,5.1,4,0,3,0,0,1,0,0,0,0,0.00,0.75
Chris Mazza,TB,32,2,0,0,0,5.1,9,7,5,6,3,1,0,0,0,0,11.81,2.81
Jake Brentz,KC,27,8,0,0,0,5.1,11,14,9,10,1,0,3,0,0,2,23.63,3.94
Robert Dugger,TB,26,1,0,0,0,5.1,8,3,7,0,0,0,0,0,0,0,5.06,1.50
Jhon Romero,MIN,27,4,0,0,0,5.0,9,2,6,1,0,0,0,0,0,0,3.60,2.00
Ryan Feltner,COL,25,1,1,0,0,5.0,7,4,7,2,1,0,1,0,0,0,7.20,1.80
Jhonathan Diaz,LAA,25,1,1,0,0,5.0,3,0,4,4,0,1,0,0,0,0,0.00,1.40
Josh Sborz,TEX,28,5,0,0,0,5.0,5,5,6,3,2,0,0,0,0,0,9.00,1.60
Sean Newcomb,ATL,28,3,0,0,0,5.0,7,4,4,4,1,0,0,0,0,0,7.20,2.20
Max Kranick,PIT,24,2,0,0,0,5.0,3,0,4,3,0,0,0,0,0,1,0.00,1.20
Justus Sheffield,SEA,26,4,0,0,0,4.2,1,0,2,2,0,0,0,0,0,0,0.00,0.64
Drew VerHagen,STL,31,3,0,0,0,4.2,5,3,4,4,0,0,0,0,0,0,5.79,1.93
David Price,LAD,36,5,0,0,0,4.2,4,1,5,1,1,0,0,0,1,0,1.93,1.07
Greg Holland,TEX,36,5,0,0,0,4.2,6,4,5,1,3,0,1,0,0,0,7.71,1.50
Damon Jones,PHI,27,4,0,0,0,4.2,4,5,5,5,0,0,0,0,0,0,9.64,1.93
Luis Castillo,CIN,29,1,1,0,0,4.2,3,3,5,3,1,0,0,0,0,0,5.79,1.29
Francisco Perez,WAS,24,5,0,0,0,4.1,3,1,3,6,0,0,0,0,0,0,2.08,2.08
Chris Ellis,BAL,29,2,2,0,0,4.1,5,5,2,6,0,0,0,0,0,0,10.38,2.54
Matt Koch,SEA,31,4,0,0,0,4.1,5,4,3,1,2,0,0,0,0,0,8.31,1.38
Tommy Kahnle,LAD,32,4,0,0,0,4.0,3,3,5,2,2,0,0,0,0,1,6.75,1.25
Sam Clay,WAS,28,5,0,0,0,4.0,3,5,3,2,1,0,0,0,0,0,11.25,1.25
Cole Sands,MIN,24,2,0,0,0,4.0,4,3,6,0,1,0,0,0,0,0,6.75,1.00
Ron Marinaccio,NYY,26,4,0,0,0,4.0,6,5,6,2,0,0,0,0,0,0,11.25,2.00
Oliver Perez,ARI,40,7,0,0,0,4.0,8,7,1,1,1,1,1,0,0,0,15.75,2.25
Lucas Gilbreath,COL,26,5,0,0,0,4.0,8,9,3,6,1,0,0,0,0,0,20.25,3.50
Luis Gil,NYY,23,1,1,0,0,4.0,5,4,5,2,0,0,0,0,0,0,9.00,1.75
Pedro Avila,SD,25,2,0,0,0,4.0,3,2,5,1,1,0,0,0,0,0,4.50,1.00
Mauricio Llovera,SF,26,4,1,0,0,4.0,3,1,5,0,0,0,0,0,0,0,2.25,0.75
Dereck Rodriguez,MIN,29,1,0,0,0,4.0,4,3,2,3,3,0,0,0,0,0,6.75,1.75
Alexander Wells,BAL,25,2,0,0,0,3.2,5,2,6,0,2,0,0,0,0,0,4.91,1.36
Tommy Romero,TB,24,2,1,0,0,3.2,3,4,4,5,2,0,0,0,0,0,9.82,2.18
Adonis Medina,NYM,25,2,0,0,0,3.2,1,0,4,0,0,1,0,0,0,0,0.00,0.27
Justin Wilson,CIN,34,5,0,0,0,3.2,3,1,7,0,0,0,1,0,0,0,2.45,0.82
Sean Newcomb,CHC,28,3,0,0,0,3.1,3,3,3,1,1,0,0,0,0,0,8.10,1.20
Jackson Kowar,KC,25,1,0,0,0,3.1,11,7,4,1,0,0,0,0,0,0,18.90,3.60
Casey Lawrence,TOR,34,2,0,0,0,3.1,4,1,0,1,0,0,0,0,0,0,2.70,1.50
Ryan Hendrix,CIN,27,5,0,0,0,3.1,5,3,4,4,0,0,0,0,0,0,8.10,2.70
Jon Heasley,KC,25,1,1,0,0,3.1,4,1,1,4,0,0,1,0,0,0,2.70,2.40
Joel Kuhnel,CIN,27,3,0,0,0,3.0,3,1,4,1,0,0,0,0,0,0,3.00,1.33
Ryan Pepiot,LAD,24,1,1,0,0,3.0,1,0,3,5,0,0,0,0,0,0,0.00,2.00
Connor Brogdon,PHI,27,4,0,0,0,3.0,4,2,2,2,1,0,0,0,0,0,6.00,2.00
Kirk McCarty,CLE,26,1,0,0,0,3.0,4,4,3,2,2,0,0,0,0,0,12.00,2.00
Andrew Wantz,LAA,26,3,0,0,0,3.0,3,2,3,0,1,0,0,0,0,0,6.00,1.00
Stephen Nogosek,NYM,27,1,0,0,0,3.0,0,0,3,2,0,0,0,0,0,0,0.00,0.67
Taylor Widener,ARI,27,3,0,0,0,3.0,5,2,2,1,1,0,0,0,0,1,6.00,2.00
Robert Dugger,CIN,26,1,0,0,0,3.0,5,3,5,1,1,0,0,0,0,0,9.00,2.00
Yoan Lopez,NYM,29,2,0,0,0,3.0,5,3,4,0,1,0,0,0,0,0,9.00,1.67
Kyle Barraclough,LAA,31,2,0,0,0,3.0,2,0,3,0,0,0,0,0,0,0,0.00,0.67
Luis Perdomo,MIL,29,3,0,0,0,3.0,4,2,1,2,1,0,0,0,0,1,6.00,2.00
Francisco Morales,PHI,22,2,0,0,0,3.0,0,0,3,4,0,0,0,1,0,0,0.00,1.33
Wade Miley,CHC,35,1,1,0,0,3.0,5,3,1,5,0,0,0,0,0,0,9.00,3.33
Keynan Middleton,ARI,28,4,0,0,0,3.0,2,2,4,0,2,1,1,0,1,1,6.00,0.67
Blake Treinen,LAD,33,3,0,0,0,3.0,1,1,5,0,1,1,1,0,0,1,3.00,0.33
Carl Edwards,WAS,30,2,0,0,0,3.0,3,3,3,1,0,0,1,0,1,0,9.00,1.33
Hunter Harvey,WAS,27,4,0,0,0,2.2,1,0,3,1,0,0,0,0,0,0,0.00,0.75
Sam Selman,OAK,31,1,0,0,0,2.2,1,0,5,1,0,0,0,0,0,0,0.00,0.75
Joey Wentz,DET,24,1,1,0,0,2.2,7,6,1,2,0,0,1,0,0,0,20.25,3.38
Kyle Muller,ATL,24,1,1,0,0,2.2,4,7,3,6,0,0,1,0,0,0,23.63,3.75
Ryan Castellani,OAK,26,3,0,0,0,2.2,2,0,1,0,0,0,0,0,0,1,0.00,0.75
Tucker Davidson,ATL,26,1,0,0,0,2.2,5,5,2,2,0,0,0,0,0,0,16.88,2.63
Elvin Rodriguez,DET,24,1,0,0,0,2.2,3,4,2,2,1,0,0,0,0,0,13.50,1.88
Ryan Borucki,TOR,28,4,0,0,0,2.2,2,2,3,3,0,0,0,0,0,1,6.75,1.88
Daniel Duarte,CIN,25,3,0,0,0,2.2,3,3,2,3,1,0,0,0,0,0,10.13,2.25
Jake Walsh,STL,26,2,0,0,0,2.2,1,0,5,1,0,0,0,0,0,0,0.00,0.75
Seth Martinez,HOU,27,2,0,0,0,2.2,1,0,4,1,0,0,0,0,0,0,0.00,0.75
Jovani Moran,MIN,25,2,0,0,0,2.2,1,0,5,0,0,0,0,0,0,0,0.00,0.38
Tayler Saucedo,TOR,28,4,0,0,0,2.2,6,4,0,1,3,0,0,0,0,0,13.50,2.63
Matt Peacock,ARI,28,2,0,0,0,2.2,3,2,2,2,1,0,0,0,0,0,6.75,1.88
Dusten Knight,TB,31,1,0,0,0,2.1,3,1,3,1,0,0,0,0,0,0,3.86,1.71
Yennier Cano,MIN,28,1,0,0,0,2.1,3,3,2,0,1,0,0,0,0,0,11.57,1.29
Luis Frias,ARI,23,2,0,0,0,2.1,2,5,2,4,0,0,0,0,0,1,19.29,2.57
Ray Kerr,SD,27,3,0,0,0,2.1,1,2,2,1,1,0,0,0,0,0,7.71,0.86
Danny Young,SEA,27,1,0,0,0,2.1,3,0,3,1,0,0,0,0,0,0,0.00,1.71
Austin Adams,SD,31,2,0,0,0,2.1,0,0,2,3,0,1,0,0,0,0,0.00,1.29
Andrew Vasquez,TOR,28,3,0,0,0,2.1,4,4,4,2,1,0,0,0,0,0,15.43,2.57
Jorge Alcala,MIN,26,2,0,0,0,2.1,2,0,2,2,0,0,0,0,0,0,0.00,1.71
Pedro Baez,HOU,34,3,0,0,0,2.1,5,3,2,3,0,0,0,0,0,0,11.57,3.43
Robbie Erlin,LAD,31,2,0,0,0,2.0,2,2,1,1,1,0,0,0,0,0,9.00,1.50
Duane Underwood,PIT,27,2,0,0,0,2.0,5,3,4,0,0,0,0,0,0,0,13.50,2.50
Anthony Kay,TOR,27,1,0,0,0,2.0,2,1,3,1,0,0,0,0,0,0,4.50,1.50
Sam Howard,PIT,29,3,0,0,0,2.0,2,2,1,4,1,0,0,0,0,0,9.00,3.00
Yency Almonte,LAD,27,1,0,0,0,2.0,0,0,4,0,0,0,0,0,0,0,0.00,0.00
Javy Guerra,SD,26,1,0,0,0,2.0,3,4,1,3,1,0,0,0,0,0,18.00,3.00
Denyi Reyes,BAL,25,1,0,0,0,2.0,0,0,2,0,0,0,0,0,0,0,0.00,0.00
JP Sears,NYY,26,2,0,0,0,2.0,2,0,2,1,0,1,0,0,0,0,0.00,1.50
Daniel Castano,MIA,27,2,0,0,0,2.0,4,0,2,0,0,0,0,0,0,0,0.00,2.00
Tanner Tully,CLE,27,1,0,0,0,2.0,2,1,0,1,1,0,0,0,0,0,4.50,1.50
Sergio Romo,SEA,39,2,0,0,0,2.0,1,0,3,0,0,0,0,0,0,1,0.00,0.50
Angel De Jesus,DET,25,1,0,0,0,2.0,1,0,3,2,0,0,0,0,0,0,0.00,1.50
Locke St. John,CHC,29,1,0,0,0,2.0,3,3,4,0,2,0,0,0,0,0,13.50,1.50
Jared Solomon,CIN,24,2,0,0,0,2.0,2,0,5,1,0,0,0,0,0,0,0.00,1.50
William Woods,ATL,23,2,0,0,0,2.0,2,0,2,1,0,0,0,0,0,0,0.00,1.50
Kervin Castro,SF,23,2,0,0,0,1.2,4,5,4,2,0,0,0,0,0,0,27.00,3.60
Tommy Nance,MIA,31,1,0,0,0,1.2,0,0,3,1,0,0,0,0,0,0,0.00,0.60
Gregory Santos,SF,22,1,0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Edwin Uceta,ARI,24,2,0,0,0,1.2,1,2,0,2,0,0,0,0,0,0,10.80,1.80
Garrett Cleavinger,LAD,28,2,0,0,0,1.2,3,1,2,2,0,0,0,0,0,0,5.40,3.00
Joe Kelly,CWS,33,2,0,0,0,1.2,3,5,2,4,0,0,1,0,0,1,27.00,4.20
Logan Allen,BAL,24,2,0,0,0,1.1,1,1,0,1,0,0,0,0,0,0,6.75,1.50
Elvis Peguero,LAA,25,2,0,0,0,1.1,3,3,0,1,2,0,0,0,0,0,20.25,3.00
J.C. Mejia,MIL,25,1,0,0,0,1.1,3,5,0,3,0,0,0,0,0,0,33.75,4.50
Conner Menez,CHC,26,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.00,1.00
Riley O'Brien,SEA,27,1,0,0,0,1.0,1,0,1,1,0,0,0,0,0,0,0.00,2.00
Nick Snyder,TEX,26,2,0,0,0,1.0,1,2,0,3,0,0,0,0,0,0,18.00,4.00
Calvin Faucher,TB,26,1,0,0,0,1.0,3,5,1,2,1,0,0,0,0,0,45.00,5.00
Kenny Rosenberg,LAA,26,1,0,0,0,1.0,2,1,2,1,0,0,0,0,0,0,9.00,3.00
Cam Alldred,PIT,25,1,0,0,0,1.0,1,0,1,0,0,0,0,0,0,0,0.00,1.00
Tyler Holton,ARI,25,1,0,0,0,1.0,2,0,1,0,0,0,0,0,0,0,0.00,2.00
Sean Hjelle,SF,25,1,0,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Zach Pop,MIA,25,1,0,0,0,1.0,3,2,1,0,0,0,0,0,0,0,18.00,3.00
Dylan Floro,MIA,31,1,0,0,0,1.0,4,3,0,1,0,0,0,0,0,0,27.00,5.00
Mason Thompson,WAS,24,2,0,0,0,1.0,0,0,3,2,0,0,0,0,0,0,0.00,2.00
Adrian Sampson,CHC,30,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,0.00,2.00
Luke Weaver,ARI,28,1,0,0,0,0.2,3,1,0,0,0,0,0,0,0,0,13.50,4.50
JT Chargois,TB,31,1,0,0,0,0.2,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Luis Patino,TB,22,1,1,0,0,0.2,1,1,0,0,0,0,1,0,0,0,13.50,1.50
Bowden Francis,TOR,26,1,0,0,0,0.2,1,0,1,0,0,0,0,0,0,0,0.00,1.50
Jose Quijada,LAA,26,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Brian Moran,LAA,33,1,0,0,0,0.1,3,2,0,1,1,0,0,0,0,0,54.00,12.00
Marcos Diplan,BAL,25,1,0,0,0,0.1,2,0,0,0,0,0,0,0,0,0,0.00,6.00
