,PlayerId,Player,Team,Position,GP,TOI,Goals,TotalAssists,FirstAssists,SecondAssists,TotalPoints,IPP,Shots,SHPercentage,ixG,iCF,iFF,iSCF,iHDCF,RushAttempts,ReboundsCreated,PIM,TotalPenalties,Minor,Major,Misconduct,PenaltiesDrawn,Giveaways,Takeaways,Hits,HitsTaken,ShotsBlocked,FaceoffsWon,FaceoffsLost,FaceoffsPercentage
751,Alexander Barabanov,S.J,L,42,724.23333333333,7,19,9,10,26,68.42,61,11.48,6.26,92,74,61,37,3,6,8,4,4,0,0,3,24,24,26,67,25,0,1,0.00
26,Alexander Edler,L.A,D,26,479.36666666667,1,10,6,4,11,47.83,39,2.56,1.34,84,55,30,6,9,8,22,11,11,0,0,8,10,4,43,45,42,0,0,-
305,Alexander Kerfoot,TOR,C,50,770.33333333333,7,27,14,13,34,70.83,74,9.46,7.4,119,100,83,38,10,4,10,5,5,0,0,13,25,22,42,81,35,31,53,36.90
23,Alexander Radulov,DAL,R,43,665.7,2,14,11,3,16,57.14,64,3.13,8.39,123,96,86,47,3,8,16,8,8,0,0,9,17,19,30,49,40,7,8,46.67
701,Alexander Romanov,MTL,D,48,917.63333333333,2,5,0,5,7,21.21,59,3.39,1.76,138,81,34,4,3,2,31,11,8,3,0,8,48,13,167,108,80,0,0,-
503,Alexandre Carrier,NSH,D,48,999.41666666667,2,18,9,9,20,42.55,55,3.64,3.66,119,77,36,9,4,9,32,16,16,0,0,10,24,19,46,117,77,0,1,0.00
647,Alexandre Texier,CBJ,C,36,525.86666666667,11,9,7,2,20,68.97,59,18.64,7.65,109,82,62,23,1,7,12,6,6,0,0,7,5,16,13,20,12,20,37,35.09
744,Alexis Lafrenière,NYR,L,48,657.86666666667,10,3,2,1,13,50.00,63,15.87,6.99,112,86,71,35,5,4,27,12,11,1,0,8,17,26,74,61,17,9,27,25.00
738,Aliaksei Protas,WSH,C,33,390.5,3,6,4,2,9,47.37,34,8.82,4.25,61,44,46,23,1,7,0,0,0,0,0,3,15,8,20,33,12,56,69,44.80
431,Anders Bjork,BUF,L,46,560.56666666667,4,2,2,0,6,46.15,39,10.26,3.43,73,48,43,19,5,3,10,5,5,0,0,6,8,16,10,40,14,1,4,20.00
157,Anders Lee,NYI,L,41,688.38333333333,13,6,5,1,19,46.34,89,14.61,13.15,143,124,108,74,2,12,12,6,6,0,0,7,14,7,56,33,12,58,63,47.93
340,Andre Burakovsky,COL,L,48,773.66666666667,14,22,11,11,36,59.02,90,15.56,7.56,195,128,98,27,3,12,14,7,7,0,0,6,23,17,35,48,20,7,11,38.89
296,Andreas Athanasiou,L.A,C,18,265.75,5,4,3,1,9,64.29,41,12.20,4.04,71,60,40,16,4,1,2,1,1,0,0,4,2,8,5,16,4,6,4,60.00
320,Andreas Johnsson,N.J,L,46,678.35,11,15,12,3,26,63.41,82,13.41,8.92,127,103,86,54,11,9,22,11,11,0,0,15,19,18,40,59,13,3,9,25.00
683,Andrei Svechnikov,CAR,R,47,807.05,22,26,15,11,48,65.75,162,13.58,20.38,289,229,162,64,8,27,57,27,26,1,0,23,44,21,104,78,10,0,4,0.00
25,Andrej Sekera,DAL,D,24,334.56666666667,0,3,1,2,3,33.33,18,0.00,0.6,39,25,5,1,0,4,12,6,6,0,0,3,8,3,12,27,17,0,0,-
310,Andrej Sustr,T.B,D,13,138.35,1,0,0,0,1,20.00,9,11.11,0.37,26,15,7,1,2,1,6,3,3,0,0,0,3,2,6,13,6,0,0,-
33,Andrew Cogliano,S.J,C,46,615.31666666667,4,9,5,4,13,68.42,55,7.27,5.68,96,78,57,31,9,8,8,4,4,0,0,5,17,21,65,33,15,7,10,41.18
337,Andrew Copp,WPG,C,47,961.2,12,16,11,5,28,58.33,128,9.38,15.43,195,167,142,61,4,15,8,4,4,0,0,6,26,24,33,50,31,294,252,53.85
21,Andrew Ladd,ARI,L,42,584.38333333333,6,3,2,1,9,40.91,47,12.77,6.52,92,68,56,32,2,6,41,15,13,1,1,4,18,15,62,44,27,5,2,71.43
441,Andrew Mangiapane,CGY,L,49,780.81666666667,25,9,6,3,34,75.56,120,20.83,14.46,192,150,146,75,5,13,22,7,6,0,1,12,29,36,40,41,19,17,20,45.95
552,Andrew Peeke,CBJ,D,50,1017.8,1,9,4,5,10,26.32,38,2.63,1.84,96,61,22,5,2,3,32,13,11,2,0,8,18,12,117,73,105,0,0,-
43,Andy Greene,NYI,D,38,670.95,1,5,3,2,6,27.27,24,4.17,1.15,68,44,14,1,1,1,2,1,1,0,0,3,18,7,19,51,64,0,0,-
476,Anthony Beauvillier,NYI,L,43,716.3,8,11,9,2,19,61.29,87,9.20,9.36,147,114,110,37,5,10,2,1,1,0,0,6,22,19,25,53,11,4,6,40.00
494,Anthony Cirelli,T.B,C,44,862.01666666667,13,15,7,8,28,57.14,93,13.98,11.49,162,126,116,56,6,15,37,13,11,1,1,22,6,26,45,63,42,268,294,47.69
332,Anthony Duclair,FLA,L,43,655.88333333333,20,18,13,5,38,57.58,89,22.47,11.24,136,110,98,43,5,11,10,5,5,0,0,13,34,26,21,62,13,0,1,0.00
372,Anthony Mantha,WSH,R,10,138.71666666667,2,4,3,1,6,54.55,16,12.50,1.92,23,19,16,9,1,2,4,2,2,0,0,0,3,3,7,8,6,0,0,-
117,Antoine Roussel,ARI,L,42,496.48333333333,3,2,2,0,5,83.33,43,6.98,4.64,78,63,44,25,3,4,53,13,9,1,3,12,9,9,57,49,29,16,20,44.44
317,Anton Blidh,BOS,L,28,296.48333333333,2,7,4,3,9,90.00,22,9.09,1.83,36,29,18,11,2,5,12,6,6,0,0,6,5,5,71,44,16,0,3,0.00
746,Anton Lundell,FLA,C,47,769.43333333333,11,24,12,12,35,59.32,82,13.41,9.38,150,117,89,32,6,8,12,6,6,0,0,9,23,48,24,53,47,269,333,44.68
41,Anton Stralman,ARI,D,42,858.25,4,6,0,6,10,38.46,63,6.35,2.6,114,80,30,7,1,11,8,4,4,0,0,3,13,15,45,40,53,0,0,-
30,Anze Kopitar,L.A,C,50,1049.4333333333,14,33,17,16,47,78.33,136,10.29,12.11,225,180,118,44,8,9,10,5,5,0,0,13,15,24,41,55,41,555,421,56.86
752,Artem Zub,OTT,D,50,1078.3833333333,4,11,3,8,15,39.47,53,7.55,2.14,112,75,26,5,0,6,32,15,15,0,0,4,46,9,93,77,91,0,0,-
497,Artemi Panarin,NYR,L,45,872.03333333333,14,41,21,20,55,82.09,116,12.07,11.51,236,173,125,19,5,19,14,3,2,0,1,9,40,44,12,32,11,0,1,0.00
724,Arthur Kaliyev,L.A,R,49,615.86666666667,9,6,6,0,15,48.39,118,7.63,10.34,179,151,102,42,17,13,10,5,5,0,0,4,8,10,15,70,8,0,0,-
736,Arttu Ruotsalainen,BUF,C,18,214,2,2,2,0,4,80.00,23,8.70,1.66,37,28,19,8,2,3,6,3,3,0,0,1,0,5,14,8,6,51,69,42.50
351,Artturi Lehkonen,MTL,L,48,696.08333333333,7,13,10,3,20,86.96,89,7.87,9.57,154,122,94,49,3,11,12,6,6,0,0,8,11,13,48,71,21,6,10,37.50
493,Austin Czarnik,NYI, SEA,C,15,169.4,2,4,3,1,6,54.55,13,15.38,1.12,26,20,19,5,2,0,0,0,0,0,0,0,4,5,3,11,6,23,36,38.98
421,Austin Poganski,WPG,R,13,116.28333333333,0,0,0,0,0,0.00,7,0.00,1.06,13,11,10,4,0,1,7,2,1,1,0,1,0,1,22,19,3,0,0,-
184,Austin Watson,OTT,L,35,432.86666666667,3,2,2,0,5,55.56,46,6.52,3.61,76,64,34,17,2,6,62,22,16,6,0,18,10,11,105,32,45,2,7,22.22
527,Auston Matthews,TOR,C,47,969.25,34,28,16,12,62,76.54,213,15.96,22.5,367,296,257,87,6,25,10,5,5,0,0,6,33,53,33,63,35,441,326,57.50
586,Axel Jonsson-Fjallby,WSH,L,9,103.25,0,1,1,0,1,33.33,9,0.00,0.81,17,13,7,5,0,2,2,1,1,0,0,0,3,2,8,13,3,1,3,25.00
252,Barclay Goodrow,NYR,C,47,799.21666666667,10,11,9,2,21,58.33,69,14.49,10.28,110,97,80,48,3,8,33,14,13,1,0,8,19,24,84,42,34,233,238,49.47
688,Barrett Hayton,ARI,C,28,457.35,2,5,3,2,7,53.85,28,7.14,3.81,54,46,43,25,0,3,10,5,5,0,0,8,6,5,37,36,18,217,223,49.32
549,Beck Malenstyn,WSH,L,12,108.53333333333,1,0,0,0,1,20.00,10,10.00,0.99,17,15,9,6,0,0,9,3,2,1,0,2,1,2,34,22,7,1,6,14.29
155,Ben Chiarot,MTL,D,46,1072.6666666667,5,5,3,2,10,30.30,84,5.95,2.95,162,104,48,8,4,9,36,18,18,0,0,4,46,14,99,63,78,0,0,-
338,Ben Harpur,NSH,D,10,137.86666666667,0,1,0,1,1,33.33,6,0.00,0.28,15,11,5,0,0,1,20,7,5,2,0,4,6,0,17,13,12,0,0,-
304,Ben Hutton,VGK,D,30,440.4,1,7,5,2,8,36.36,39,2.56,1.25,82,54,19,2,2,3,16,5,3,2,0,5,11,13,23,69,38,0,0,-
690,Benoit-Olivier Groulx,ANA,C,18,197.9,1,2,1,1,3,60.00,17,5.88,2.22,31,21,16,8,1,2,2,1,1,0,0,0,3,4,19,20,6,38,45,45.78
218,Blake Coleman,CGY,C,48,737.45,10,11,6,5,21,67.74,147,6.80,13.6,224,180,129,53,4,11,44,19,17,2,0,12,35,21,105,37,36,2,13,13.33
710,Blake Lizotte,L.A,C,44,525.56666666667,6,8,5,3,14,60.87,55,10.91,6.25,89,76,56,29,13,10,20,10,10,0,0,11,5,16,45,83,7,193,174,52.59
22,Blake Wheeler,WPG,R,36,707.45,5,28,18,10,33,78.57,90,5.56,9.82,144,110,99,42,7,10,18,9,9,0,0,5,13,21,44,37,22,3,12,20.00
364,Bo Horvat,VAN,C,47,943.81666666667,15,12,7,5,27,49.09,130,11.54,13.32,205,171,135,55,6,9,30,15,15,0,0,8,20,18,63,38,27,577,468,55.22
223,Boone Jenner,CBJ,C,50,1019.4666666667,21,19,9,10,40,60.61,137,15.33,16.34,227,186,143,78,5,12,18,9,9,0,0,10,22,30,58,42,52,544,466,53.86
