,PlayerId,Player,Team,Position,GP,TOI,CF,CA,CFPercentage,FF,FA,FFPercentage,SF,SA,SFPercentage,GF,GA,GFPercentage,xGF,xGA,xGFPercentage,SCF,SCA,SCFPercentage,HDCF,HDCA,HDCFPercentage,HDGF,HDGA,HDGFPercentage,MDCF,MDCA,MDCFPercentage,MDGF,MDGA,MDGFPercentage,LDCF,LDCA,LDCFPercentage,LDGF,LDGA,LDGFPercentage,On-Ice,SHPercentage,On-Ice,SVPercentage,PDO,OffZoneStarts,NeuZoneStarts,DefZoneStarts,OnTheFlyStarts,OffZoneStartPercentage,OffZoneFaceoffs,NeuZoneFaceoffsDefZoneFaceoffs,OffZoneFaceoffPercentage
204,Alex Belzile,MTL,R,11,114.31666666667,90,92,49.45,68,77,46.90,57,56,50.44,3,4,42.86,4.18,4.88,46.15,43,46,48.31,17,18,48.57,0,1,0.00,26,28,48.15,2,3,40.00,38,41,48.10,1,0,100.00,5.26,92.86,0.981,16,29,14,113,53.33,24,44,30,44.44
125,Alex Chiasson,VAN,R,40,427.16666666667,444,330,57.36,330,242,57.69,247,177,58.25,18,12,60.00,21.69,14.51,59.92,216,150,59.02,71,60,54.20,10,7,58.82,145,90,61.70,5,2,71.43,204,145,58.45,3,2,60.00,7.29,93.22,1.005,111,65,55,365,66.87,174,88,101,63.27
535,Alex DeBrincat,CHI,L,52,1059.0166666667,1081,889,54.87,801,658,54.90,623,476,56.69,66,59,52.80,61.62,46.58,56.95,555,447,55.39,210,147,58.82,36,24,60.00,345,300,53.49,17,20,45.95,478,385,55.39,12,9,57.14,10.59,87.61,0.982,219,163,95,693,69.75,471,256,208,69.37
634,Alex Formenton,OTT,L,47,701.41666666667,608,734,45.31,469,558,45.67,350,396,46.92,28,44,38.89,30.38,38.42,44.15,321,381,45.73,128,146,46.72,17,22,43.59,193,235,45.09,9,16,36.00,250,308,44.80,2,6,25.00,8.00,88.89,0.969,98,115,107,615,47.80,184,158,219,45.66
258,Alex Galchenyuk,ARI,C,30,395.31666666667,318,368,46.36,246,287,46.15,183,216,45.86,21,21,50.00,16.99,19.65,46.36,166,198,45.60,77,94,45.03,12,10,54.55,89,104,46.11,5,9,35.71,134,148,47.52,4,1,80.00,11.48,90.28,1.018,59,76,53,372,52.68,111,106,94,54.15
24,Alex Goligoski,MIN,D,43,834.43333333333,806,752,51.73,620,565,52.32,473,416,53.21,63,40,61.17,37.44,40.74,47.89,410,368,52.70,164,163,50.15,28,22,56.00,246,205,54.55,24,10,70.59,357,314,53.20,11,5,68.75,13.32,90.38,1.037,108,149,114,594,48.65,262,241,242,51.98
649,Alex Iafallo,L.A,L,48,901.16666666667,1012,713,58.67,787,522,60.12,577,392,59.55,49,47,51.04,56.1,41.16,57.68,523,394,57.03,214,152,58.47,22,22,50.00,309,242,56.08,12,17,41.38,426,271,61.12,11,5,68.75,8.49,88.01,0.965,200,176,198,590,50.25,342,233,311,52.37
59,Alex Killorn,T.B,L,49,935.18333333333,917,805,53.25,716,623,53.47,507,460,52.43,69,50,57.98,54.57,46.99,53.73,510,438,53.80,215,170,55.84,37,26,58.73,295,268,52.40,19,10,65.52,366,316,53.67,13,9,59.09,13.61,89.13,1.027,227,189,156,586,59.27,384,275,293,56.72
734,Alex Newhook,COL,C,40,533.21666666667,493,445,52.56,340,331,50.67,273,241,53.11,26,15,63.41,21.69,19.51,52.65,226,199,53.18,85,102,45.45,14,9,60.87,141,97,59.24,7,3,70.00,230,199,53.61,4,3,57.14,9.52,93.78,1.033,82,113,67,444,55.03,139,154,148,48.43
19,Alex Ovechkin,WSH,L,50,1084.0666666667,1243,810,60.55,940,617,60.37,671,436,60.61,83,45,64.84,72.36,41.55,63.52,631,438,59.03,224,167,57.29,34,22,60.71,407,271,60.03,28,14,66.67,541,297,64.56,16,6,72.73,12.37,89.68,1.020,296,214,44,578,87.06,574,292,138,80.62
92,Alex Pietrangelo,VGK,D,49,1251.1166666667,1283,1215,51.36,966,881,52.30,734,631,53.77,66,62,51.56,70.51,70.29,50.08,652,674,49.17,271,290,48.31,33,37,47.14,381,384,49.80,23,12,65.71,535,453,54.15,9,10,47.37,8.99,90.17,0.992,197,226,197,738,50.00,466,362,426,52.24
