team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
DET,2021,DET,DET,Team Level,other,81,0.38,0.5,0.5,10731.0,154.79,30.03,11.33,28.55,5.14,84.17,53.77,28.32,30.03,28.32,156.0,57.0,61.0,274.0,32.0,7.0,1.0,32.0,3.0,84.0,55.0,124.0,181.0,6.0,12.0,138.0,30.0,23.0,20.0,116.0,58.0,39.0,4.14,7.14,18.76,4.0,8.0,20.0,274.0,213.0,213.0,4.0,3.38,1.79,1.79,31.62,31.62,29.97,156.65,49.73,11.04,24.61,4.96,76.74,48.93,45.01,49.73,45.01,161.0,55.0,61.0,277.0,46.0,15.0,2.0,32.0,10.0,60.0,53.0,115.0,170.0,2.0,4.0,149.0,35.0,19.0,28.0,88.0,55.0,73.0,3.8,7.32,38.6,2.0,9.0,35.0,277.0,216.0,216.0,19.0,3.42,6.45,6.45,46.69,46.69,43.75
DET,2021,DET,DET,Team Level,all,81,0.45,0.47,0.46,295325.0,2297.99,227.63,163.05,514.74,73.94,1248.21,918.44,218.57,226.88,217.82,2380.0,766.0,996.0,4142.0,222.0,188.0,31.0,475.0,71.0,1007.0,1183.0,2158.0,2924.0,282.0,639.0,2225.0,1585.0,460.0,626.0,2239.0,663.0,244.0,65.73,81.97,79.93,71.0,76.0,75.0,4097.34,3146.0,3124.95,345.0,36.21,43.67,43.67,220.17,219.37,214.13,2668.7,280.35,191.73,586.8,85.05,1482.58,1060.49,267.98,283.16,270.72,2739.0,948.0,1073.0,4760.0,307.0,171.0,31.0,597.0,75.0,1168.0,1369.0,2432.0,3380.0,285.0,641.0,2277.0,1546.0,421.0,547.0,2567.0,854.0,266.0,77.42,104.41,98.52,103.0,106.0,98.0,4856.48,3687.0,3738.73,313.0,42.29,38.13,39.03,283.61,286.38,277.72
DET,2021,DET,DET,Team Level,5on5,81,0.46,0.46,0.45,242689.0,1801.45,159.67,122.2,419.43,57.87,976.17,732.66,154.24,158.93,153.5,1875.0,593.0,809.0,3277.0,155.0,151.0,26.0,390.0,57.0,757.0,958.0,1720.0,2313.0,253.0,579.0,1740.0,1466.0,373.0,526.0,1818.0,492.0,158.0,53.65,61.23,44.81,59.0,58.0,38.0,3232.34,2468.0,2446.95,313.0,25.35,35.56,35.56,149.47,148.66,146.44,2144.92,186.18,147.93,492.01,68.36,1201.81,871.72,180.85,188.99,183.6,2195.0,773.0,878.0,3846.0,200.0,134.0,24.0,494.0,59.0,942.0,1139.0,1995.0,2768.0,263.0,595.0,1734.0,1415.0,354.0,458.0,2149.0,677.0,142.0,64.23,82.66,39.29,81.0,79.0,40.0,3942.48,2968.0,3019.73,267.0,30.56,28.03,28.03,188.71,191.47,187.98
DET,2021,DET,DET,Team Level,4on5,81,0.14,0.14,0.16,20868.0,60.75,5.99,2.91,8.2,1.76,18.3,42.84,5.92,5.99,5.92,71.0,9.0,13.0,93.0,4.0,4.0,0.0,6.0,1.0,16.0,49.0,67.0,76.0,10.0,20.0,144.0,60.0,46.0,27.0,54.0,16.0,10.0,1.38,1.92,2.69,0.0,2.0,2.0,93.0,80.0,80.0,27.0,0.68,1.07,1.07,5.59,5.59,5.57,305.42,37.92,29.47,61.47,9.86,184.16,97.12,35.68,37.92,35.68,309.0,111.0,129.0,549.0,52.0,20.0,4.0,67.0,6.0,156.0,119.0,257.0,368.0,6.0,14.0,221.0,22.0,9.0,36.0,275.0,102.0,43.0,7.8,11.92,18.21,17.0,16.0,19.0,549.0,420.0,420.0,2.0,7.56,3.32,4.22,41.27,41.27,39.08
DET,2021,DET,DET,Team Level,5on4,81,0.83,0.85,0.82,21037.0,280.99,31.94,26.61,58.54,9.16,169.58,89.17,30.08,31.94,30.08,278.0,107.0,113.0,498.0,31.0,26.0,4.0,47.0,10.0,150.0,121.0,247.0,354.0,13.0,28.0,203.0,29.0,18.0,53.0,251.0,97.0,37.0,6.57,11.69,13.68,8.0,8.0,15.0,498.0,385.0,385.0,1.0,6.81,5.24,5.24,33.5,33.5,32.14,61.71,6.52,3.3,8.7,1.86,19.88,42.74,6.43,6.52,6.43,74.0,9.0,5.0,88.0,9.0,2.0,1.0,4.0,0.0,10.0,58.0,65.0,74.0,14.0,28.0,173.0,74.0,39.0,25.0,55.0,20.0,8.0,1.6,2.5,2.42,3.0,2.0,4.0,88.0,83.0,83.0,25.0,0.76,0.33,0.33,6.95,6.95,6.92
CAR,2021,CAR,CAR,Team Level,other,81,0.57,0.49,0.47,12474.0,143.53,39.32,9.47,23.45,4.28,69.43,49.06,37.74,39.32,37.74,139.0,56.0,65.0,260.0,33.0,9.0,5.0,25.0,8.0,52.0,68.0,106.0,162.0,10.0,22.0,131.0,39.0,36.0,47.0,87.0,52.0,56.0,3.38,6.24,29.7,1.0,8.0,24.0,260.0,195.0,195.0,19.0,2.77,3.45,3.45,38.65,38.65,37.67,161.31,29.95,12.63,29.56,5.45,90.41,52.0,28.04,29.95,28.04,159.0,61.0,56.0,276.0,27.0,15.0,4.0,23.0,7.0,75.0,73.0,132.0,193.0,9.0,18.0,140.0,52.0,27.0,52.0,111.0,66.0,43.0,4.65,8.2,17.1,3.0,12.0,12.0,276.0,220.0,220.0,17.0,3.63,3.34,3.34,30.24,30.24,28.62
CAR,2021,CAR,CAR,Team Level,all,81,0.56,0.56,0.55,294563.0,2816.66,286.2,193.24,658.03,93.52,1555.9,1135.13,274.53,288.51,276.71,2762.0,1160.0,1133.0,5055.0,271.0,267.0,51.0,610.0,111.0,1327.0,1336.0,2491.0,3651.0,311.0,658.0,2590.0,1793.0,662.0,841.0,2827.0,797.0,298.0,82.9,97.52,105.77,82.0,102.0,87.0,5118.64,3922.0,3964.7,373.0,42.42,60.94,60.94,267.69,269.47,263.35,2310.45,224.04,160.24,525.28,75.62,1255.4,919.48,215.76,223.4,215.13,2280.0,881.0,844.0,4005.0,197.0,211.0,35.0,471.0,87.0,963.0,1232.0,2083.0,2964.0,262.0,559.0,2212.0,2053.0,592.0,927.0,2280.0,649.0,232.0,69.32,80.18,74.55,60.0,77.0,60.0,3966.77,3161.0,3136.55,492.0,35.54,44.8,44.86,214.65,214.01,209.25
CAR,2021,CAR,CAR,Team Level,5on5,81,0.56,0.56,0.56,233704.0,2238.53,195.47,149.51,548.3,75.09,1245.74,911.89,187.53,197.78,189.71,2181.0,945.0,937.0,4063.0,187.0,218.0,33.0,528.0,92.0,1050.0,1051.0,1994.0,2939.0,276.0,588.0,2013.0,1678.0,512.0,665.0,2324.0,621.0,181.0,67.9,76.41,51.16,69.0,82.0,36.0,4126.64,3126.0,3168.7,311.0,30.97,45.63,45.63,180.82,182.6,179.08,1809.63,155.97,119.43,429.28,59.18,976.06,732.14,150.94,155.33,150.31,1785.0,688.0,682.0,3155.0,138.0,162.0,25.0,393.0,64.0,758.0,958.0,1647.0,2335.0,224.0,483.0,1718.0,1883.0,481.0,735.0,1845.0,484.0,144.0,56.54,59.73,39.69,50.0,55.0,33.0,3116.77,2473.0,2448.55,437.0,24.75,33.02,33.51,147.15,146.51,144.18
CAR,2021,CAR,CAR,Team Level,4on5,81,0.22,0.21,0.23,27511.0,89.16,8.47,4.58,11.84,2.65,27.04,62.42,8.27,8.47,8.27,100.0,17.0,14.0,131.0,4.0,5.0,1.0,5.0,0.0,20.0,83.0,96.0,113.0,9.0,18.0,245.0,55.0,87.0,47.0,79.0,29.0,9.0,2.35,3.77,2.35,1.0,1.0,2.0,131.0,117.0,117.0,37.0,1.06,0.75,0.75,8.78,8.78,8.7,274.2,30.07,24.67,57.54,9.08,169.9,91.75,28.97,30.07,28.97,268.0,115.0,98.0,481.0,29.0,29.0,6.0,54.0,14.0,119.0,138.0,239.0,354.0,24.0,48.0,205.0,42.0,41.0,108.0,272.0,80.0,31.0,6.71,9.85,13.51,7.0,9.0,13.0,481.0,383.0,383.0,9.0,6.34,7.28,6.85,29.56,29.56,28.95
CAR,2021,CAR,CAR,Team Level,5on4,81,0.84,0.87,0.85,20874.0,345.44,42.93,29.68,74.43,11.51,213.69,111.75,41.0,42.93,41.0,342.0,142.0,117.0,601.0,47.0,35.0,12.0,52.0,11.0,205.0,134.0,295.0,437.0,16.0,30.0,201.0,21.0,27.0,82.0,337.0,95.0,52.0,9.27,11.11,22.55,11.0,11.0,25.0,601.0,484.0,484.0,6.0,7.63,11.12,11.12,39.44,39.44,37.9,65.32,8.05,3.51,8.9,1.91,19.05,43.58,7.82,8.05,7.82,68.0,17.0,8.0,93.0,3.0,5.0,0.0,1.0,2.0,11.0,63.0,65.0,82.0,5.0,10.0,149.0,76.0,43.0,32.0,52.0,19.0,14.0,1.41,2.39,4.24,0.0,1.0,2.0,93.0,85.0,85.0,29.0,0.81,1.15,1.15,7.7,7.7,7.51
