team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
LAK,2021,LAK,LAK,Team Level,other,80,0.58,0.54,0.56,9218.0,148.93,34.32,10.41,26.35,4.99,74.85,54.09,31.87,34.32,31.87,148.0,57.0,45.0,250.0,32.0,16.0,5.0,20.0,7.0,61.0,69.0,116.0,173.0,2.0,4.0,122.0,35.0,18.0,20.0,91.0,68.0,46.0,3.73,8.46,22.13,1.0,5.0,26.0,250.0,205.0,205.0,8.0,2.94,5.28,5.28,31.97,31.97,30.85,118.07,24.36,8.51,20.62,4.11,58.63,41.77,22.71,24.36,22.71,115.0,43.0,59.0,217.0,19.0,10.0,1.0,13.0,8.0,52.0,56.0,96.0,139.0,11.0,22.0,88.0,32.0,24.0,31.0,74.0,48.0,36.0,3.25,6.08,15.03,5.0,4.0,10.0,217.0,158.0,158.0,21.0,2.32,3.24,3.5,23.19,23.19,22.57
LAK,2021,LAK,LAK,Team Level,all,80,0.53,0.54,0.55,292063.0,2785.12,265.93,194.04,637.97,91.62,1536.95,1116.49,253.9,265.31,253.4,2803.0,1040.0,1137.0,4980.0,228.0,248.0,40.0,644.0,89.0,1191.0,1443.0,2575.0,3615.0,267.0,587.0,2282.0,1632.0,435.0,582.0,2789.0,784.0,270.0,81.66,94.93,89.34,66.0,69.0,93.0,4982.27,3843.0,3847.69,425.0,42.75,54.15,54.22,254.46,254.19,248.22,2301.91,235.55,165.12,505.8,74.35,1244.25,915.93,225.34,237.26,226.99,2274.0,867.0,1052.0,4193.0,226.0,205.0,31.0,467.0,91.0,916.0,1236.0,2048.0,2915.0,284.0,613.0,2063.0,2150.0,391.0,607.0,2178.0,720.0,243.0,66.81,87.17,81.56,64.0,97.0,65.0,4217.53,3141.0,3155.17,414.0,36.24,44.89,45.51,226.29,227.66,222.93
LAK,2021,LAK,LAK,Team Level,5on5,80,0.53,0.54,0.55,238198.0,2186.21,183.19,144.65,520.56,71.56,1206.36,890.68,176.68,182.57,176.18,2176.0,841.0,915.0,3932.0,149.0,178.0,28.0,535.0,71.0,946.0,1138.0,2027.0,2868.0,244.0,543.0,1735.0,1498.0,367.0,483.0,2277.0,569.0,171.0,66.92,68.14,48.13,54.0,49.0,46.0,3934.27,3017.0,3021.69,370.0,29.92,37.64,37.83,175.28,175.0,172.1,1788.78,161.38,122.97,409.92,57.42,969.11,725.19,155.74,163.1,157.39,1756.0,690.0,842.0,3288.0,148.0,155.0,21.0,393.0,66.0,684.0,1000.0,1608.0,2298.0,259.0,563.0,1601.0,2016.0,323.0,495.0,1741.0,559.0,146.0,54.06,67.59,39.74,49.0,74.0,25.0,3312.53,2446.0,2460.17,346.0,25.51,32.68,32.98,153.92,155.31,152.97
LAK,2021,LAK,LAK,Team Level,4on5,80,0.15,0.15,0.17,21105.0,67.6,7.33,3.84,8.99,2.27,21.61,46.95,7.25,7.33,7.25,80.0,11.0,10.0,101.0,11.0,3.0,1.0,6.0,1.0,8.0,62.0,69.0,80.0,5.0,10.0,168.0,75.0,31.0,41.0,58.0,23.0,10.0,1.59,2.98,2.76,0.0,5.0,6.0,101.0,91.0,91.0,40.0,0.87,0.51,0.51,7.69,7.69,7.65,328.94,42.57,30.13,66.52,10.9,196.85,104.04,39.89,42.57,39.89,325.0,126.0,144.0,595.0,51.0,37.0,8.0,54.0,12.0,166.0,131.0,274.0,400.0,9.0,18.0,194.0,31.0,7.0,32.0,306.0,95.0,50.0,7.8,11.07,23.71,7.0,17.0,27.0,595.0,451.0,451.0,2.0,7.61,8.18,8.25,41.93,41.93,40.25
LAK,2021,LAK,LAK,Team Level,5on4,80,0.85,0.88,0.86,23542.0,382.39,41.1,35.14,82.07,12.79,234.13,124.77,38.09,41.1,38.09,399.0,131.0,167.0,697.0,36.0,51.0,6.0,83.0,10.0,176.0,174.0,363.0,494.0,16.0,30.0,257.0,24.0,19.0,38.0,363.0,124.0,43.0,9.43,15.35,16.32,11.0,10.0,15.0,697.0,530.0,530.0,7.0,9.03,10.72,10.6,39.52,39.52,37.62,66.13,7.22,3.52,8.74,1.93,19.66,44.93,7.0,7.22,7.0,78.0,8.0,7.0,93.0,8.0,3.0,1.0,7.0,5.0,14.0,49.0,70.0,78.0,5.0,10.0,180.0,71.0,37.0,49.0,57.0,18.0,11.0,1.7,2.43,3.09,3.0,2.0,3.0,93.0,86.0,86.0,45.0,0.81,0.79,0.79,7.23,7.23,7.14
MTL,2021,MTL,MTL,Team Level,other,80,0.41,0.48,0.46,9988.0,134.21,23.29,9.7,26.13,4.5,71.02,47.38,22.43,23.29,22.43,148.0,34.0,57.0,239.0,25.0,10.0,2.0,26.0,7.0,54.0,60.0,123.0,157.0,8.0,16.0,137.0,31.0,29.0,33.0,107.0,44.0,31.0,3.59,5.9,13.8,2.0,9.0,14.0,239.0,182.0,182.0,24.0,2.76,2.8,2.8,23.25,23.25,22.6,156.54,33.45,11.13,28.86,5.52,79.28,55.77,32.5,33.45,32.5,163.0,51.0,45.0,259.0,41.0,10.0,3.0,32.0,3.0,70.0,58.0,122.0,173.0,10.0,18.0,139.0,32.0,26.0,37.0,118.0,54.0,42.0,4.93,7.07,21.44,5.0,12.0,24.0,259.0,214.0,214.0,26.0,3.15,2.48,2.48,34.11,34.11,33.35
MTL,2021,MTL,MTL,Team Level,all,80,0.43,0.47,0.46,291133.0,2283.98,209.78,159.8,529.48,75.81,1254.37,925.76,202.05,207.93,200.23,2383.0,772.0,1081.0,4236.0,204.0,182.0,30.0,506.0,63.0,964.0,1236.0,2179.0,2951.0,315.0,686.0,2264.0,1978.0,479.0,998.0,2368.0,576.0,211.0,67.3,72.29,70.19,73.0,69.0,62.0,4144.59,3155.0,3097.86,759.0,35.3,36.27,36.63,208.46,206.3,201.8,2697.11,273.08,194.05,614.45,87.99,1489.59,1058.84,262.73,277.04,266.54,2758.0,960.0,1151.0,4869.0,312.0,219.0,42.0,592.0,95.0,1234.0,1266.0,2446.0,3406.0,293.0,632.0,2340.0,1788.0,470.0,1015.0,2633.0,800.0,285.0,79.66,98.23,95.18,93.0,123.0,96.0,4998.58,3718.0,3800.92,731.0,43.13,44.1,44.1,272.1,275.9,269.8
MTL,2021,MTL,MTL,Team Level,5on5,80,0.45,0.47,0.46,234061.0,1782.95,148.62,119.77,428.17,58.89,979.16,728.38,144.16,146.77,142.34,1849.0,614.0,867.0,3330.0,143.0,142.0,24.0,398.0,45.0,744.0,991.0,1706.0,2320.0,268.0,586.0,1707.0,1828.0,385.0,848.0,1867.0,459.0,137.0,54.06,57.07,37.49,61.0,52.0,30.0,3238.59,2463.0,2405.86,666.0,24.82,27.33,27.95,145.49,143.33,141.01,2067.21,181.39,141.31,490.95,66.8,1139.22,833.34,174.67,185.35,178.47,2110.0,743.0,912.0,3765.0,194.0,163.0,28.0,476.0,71.0,938.0,1011.0,1916.0,2659.0,253.0,550.0,1751.0,1677.0,382.0,841.0,2092.0,583.0,178.0,61.84,71.69,47.86,74.0,83.0,37.0,3894.58,2853.0,2935.92,624.0,29.35,34.15,34.15,176.58,180.38,177.35
MTL,2021,MTL,MTL,Team Level,4on5,80,0.13,0.14,0.16,24134.0,78.69,7.35,3.97,11.71,2.59,24.84,56.54,7.16,7.35,7.16,90.0,17.0,14.0,121.0,5.0,3.0,0.0,8.0,2.0,19.0,70.0,85.0,102.0,13.0,32.0,201.0,91.0,47.0,66.0,80.0,17.0,10.0,2.21,2.28,2.85,1.0,2.0,2.0,121.0,107.0,107.0,62.0,0.93,0.71,0.71,7.56,7.56,7.49,409.91,50.72,37.8,86.09,13.67,250.23,126.49,48.08,50.72,48.08,416.0,149.0,178.0,743.0,66.0,42.0,8.0,76.0,20.0,213.0,148.0,350.0,499.0,18.0,40.0,249.0,23.0,15.0,68.0,370.0,141.0,54.0,11.19,16.61,22.91,13.0,22.0,31.0,743.0,565.0,565.0,15.0,9.77,7.02,7.02,53.47,53.47,51.16
MTL,2021,MTL,MTL,Team Level,5on4,80,0.8,0.84,0.82,22950.0,288.12,30.52,26.35,63.48,9.83,179.35,93.46,28.3,30.52,28.3,296.0,107.0,143.0,546.0,31.0,27.0,4.0,74.0,9.0,147.0,115.0,265.0,372.0,26.0,52.0,219.0,28.0,18.0,51.0,314.0,56.0,33.0,7.43,7.04,16.05,9.0,6.0,16.0,546.0,403.0,403.0,7.0,6.8,5.43,5.16,32.16,32.16,30.69,63.44,7.52,3.81,8.55,2.02,20.87,43.23,7.49,7.52,7.49,69.0,17.0,16.0,102.0,11.0,4.0,3.0,8.0,1.0,13.0,49.0,58.0,75.0,12.0,24.0,201.0,56.0,47.0,69.0,53.0,22.0,11.0,1.7,2.86,2.96,1.0,6.0,4.0,102.0,86.0,86.0,66.0,0.86,0.45,0.45,7.94,7.94,7.93
NYI,2021,NYI,NYI,Team Level,other,80,0.45,0.47,0.49,11012.0,123.69,23.61,8.81,22.73,4.07,71.09,48.69,22.21,23.61,22.21,131.0,48.0,45.0,224.0,21.0,10.0,2.0,29.0,9.0,47.0,63.0,110.0,158.0,7.0,14.0,102.0,32.0,20.0,44.0,115.0,34.0,30.0,5.04,4.29,14.27,5.0,5.0,11.0,224.0,179.0,179.0,21.0,2.43,2.59,2.59,23.46,23.46,22.11,137.86,28.94,10.08,24.3,4.5,74.55,47.64,27.9,28.94,27.9,152.0,38.0,62.0,252.0,32.0,6.0,2.0,22.0,6.0,66.0,58.0,120.0,158.0,5.0,10.0,127.0,24.0,21.0,33.0,99.0,51.0,40.0,3.61,6.17,19.16,5.0,5.0,22.0,252.0,190.0,190.0,14.0,2.88,2.12,2.12,29.7,29.7,28.8
NYI,2021,NYI,NYI,Team Level,all,80,0.48,0.47,0.47,291013.0,2233.61,211.64,158.35,509.48,74.05,1258.46,918.02,202.65,213.25,204.21,2304.0,826.0,1010.0,4140.0,220.0,170.0,27.0,513.0,105.0,936.0,1186.0,2084.0,2910.0,267.0,611.0,2163.0,1991.0,485.0,828.0,2360.0,549.0,221.0,70.63,66.31,74.7,79.0,69.0,72.0,4168.95,3130.0,3150.65,467.0,34.62,36.51,36.51,209.75,211.43,206.04,2529.19,229.86,173.88,587.24,83.79,1434.04,1032.39,221.43,230.3,221.8,2609.0,935.0,1214.0,4758.0,224.0,205.0,35.0,501.0,102.0,1110.0,1402.0,2385.0,3320.0,267.0,616.0,2066.0,1595.0,466.0,868.0,2725.0,589.0,230.0,80.78,71.83,77.25,89.0,62.0,73.0,4756.72,3544.0,3544.55,499.0,37.71,42.92,42.92,224.52,224.65,219.83
NYI,2021,NYI,NYI,Team Level,5on5,80,0.47,0.46,0.46,240003.0,1763.41,146.09,120.28,418.92,58.08,991.13,732.5,142.04,147.7,143.6,1816.0,651.0,840.0,3307.0,154.0,129.0,19.0,422.0,78.0,739.0,945.0,1662.0,2313.0,238.0,550.0,1725.0,1898.0,411.0,692.0,1893.0,440.0,134.0,56.44,52.71,36.93,64.0,55.0,35.0,3335.95,2467.0,2487.65,413.0,24.73,26.13,26.13,144.69,146.37,144.46,2054.91,164.04,135.16,494.91,67.89,1166.91,853.28,158.63,164.46,159.0,2103.0,782.0,1004.0,3889.0,155.0,167.0,28.0,422.0,82.0,881.0,1178.0,1948.0,2730.0,245.0,569.0,1598.0,1497.0,397.0,742.0,2292.0,443.0,150.0,67.58,54.22,42.25,75.0,48.0,32.0,3887.72,2885.0,2885.55,443.0,27.64,34.18,34.18,157.37,157.49,154.97
NYI,2021,NYI,NYI,Team Level,4on5,80,0.14,0.15,0.17,20168.0,59.38,5.22,2.88,8.31,1.84,19.6,44.15,5.16,5.22,5.16,62.0,20.0,11.0,93.0,4.0,3.0,0.0,3.0,1.0,12.0,59.0,58.0,78.0,6.0,12.0,158.0,42.0,42.0,28.0,63.0,13.0,6.0,1.91,1.6,1.71,1.0,2.0,1.0,93.0,82.0,82.0,25.0,0.67,0.78,0.78,5.11,5.11,5.08,277.76,31.03,25.45,60.2,9.62,174.52,91.19,29.29,31.03,29.29,289.0,103.0,138.0,530.0,31.0,29.0,4.0,53.0,13.0,153.0,113.0,258.0,361.0,12.0,24.0,174.0,23.0,11.0,55.0,278.0,82.0,32.0,7.81,9.72,13.5,8.0,7.0,16.0,530.0,392.0,392.0,6.0,6.46,5.69,5.69,31.8,31.8,30.43
NYI,2021,NYI,NYI,Team Level,5on4,80,0.86,0.86,0.84,19830.0,287.14,36.73,26.37,59.53,10.05,176.64,92.7,33.23,36.73,33.23,295.0,107.0,114.0,516.0,41.0,28.0,6.0,59.0,17.0,138.0,119.0,254.0,361.0,16.0,35.0,178.0,19.0,12.0,64.0,289.0,62.0,51.0,7.24,7.7,21.78,9.0,7.0,25.0,516.0,402.0,402.0,8.0,6.79,7.02,7.02,36.5,36.5,34.39,58.65,5.87,3.18,7.83,1.79,18.05,40.28,5.61,5.87,5.61,65.0,12.0,10.0,87.0,6.0,3.0,1.0,4.0,1.0,10.0,53.0,59.0,71.0,5.0,13.0,167.0,51.0,37.0,38.0,56.0,13.0,8.0,1.79,1.72,2.35,1.0,2.0,3.0,87.0,77.0,77.0,36.0,0.73,0.93,0.93,5.66,5.66,5.63
PHI,2021,PHI,PHI,Team Level,other,80,0.44,0.53,0.52,10880.0,154.82,30.34,11.83,28.48,5.23,83.26,50.86,26.69,30.34,26.69,153.0,57.0,78.0,288.0,19.0,15.0,4.0,29.0,7.0,66.0,74.0,134.0,191.0,7.0,14.0,138.0,29.0,11.0,23.0,109.0,53.0,48.0,4.21,6.87,19.26,4.0,2.0,13.0,288.0,210.0,210.0,8.0,3.51,3.37,3.99,29.86,29.86,26.67,142.0,38.67,9.67,23.72,4.56,67.81,47.55,36.67,38.67,36.67,151.0,41.0,65.0,257.0,43.0,10.0,0.0,26.0,5.0,54.0,54.0,108.0,149.0,11.0,22.0,115.0,28.0,26.0,34.0,96.0,46.0,50.0,3.84,5.52,29.32,5.0,7.0,31.0,257.0,192.0,192.0,21.0,2.74,2.24,2.24,39.18,39.18,37.24
PHI,2021,PHI,PHI,Team Level,all,80,0.46,0.47,0.47,290925.0,2418.87,230.25,169.32,553.43,79.51,1314.09,965.42,219.92,228.76,218.53,2471.0,841.0,1067.0,4379.0,208.0,213.0,39.0,550.0,84.0,952.0,1305.0,2263.0,3104.0,279.0,629.0,2387.0,1818.0,457.0,652.0,2402.0,664.0,246.0,67.56,82.59,80.1,66.0,71.0,71.0,4333.79,3312.0,3287.46,427.0,37.62,41.43,42.56,225.31,224.15,217.64,2679.96,270.74,186.79,601.35,85.82,1464.23,1078.07,261.07,273.71,263.95,2723.0,964.0,1214.0,4901.0,286.0,208.0,36.0,662.0,103.0,1100.0,1329.0,2437.0,3401.0,286.0,642.0,2198.0,1723.0,537.0,730.0,2599.0,816.0,272.0,77.47,97.59,95.68,87.0,102.0,97.0,4973.23,3687.0,3728.78,433.0,40.94,42.99,43.34,268.34,270.89,264.44
PHI,2021,PHI,PHI,Team Level,5on5,80,0.46,0.46,0.47,236191.0,1879.67,160.56,123.79,446.61,61.25,1009.55,766.24,155.52,159.07,154.12,1924.0,644.0,844.0,3412.0,159.0,160.0,31.0,439.0,70.0,712.0,1028.0,1765.0,2409.0,256.0,583.0,1838.0,1721.0,386.0,540.0,1900.0,515.0,153.0,54.35,64.07,42.14,61.0,57.0,41.0,3366.79,2568.0,2543.46,370.0,25.62,31.62,32.13,154.04,152.89,150.96,2135.23,186.49,142.79,499.18,68.06,1173.02,875.47,180.62,189.45,183.5,2145.0,800.0,988.0,3933.0,186.0,162.0,29.0,555.0,81.0,873.0,1089.0,1959.0,2759.0,256.0,584.0,1692.0,1610.0,442.0,591.0,2124.0,656.0,165.0,63.35,78.66,44.48,68.0,79.0,39.0,4005.23,2945.0,2986.78,371.0,29.53,33.14,33.49,182.52,185.07,181.88
PHI,2021,PHI,PHI,Team Level,4on5,80,0.13,0.13,0.16,21189.0,61.86,5.92,3.26,8.69,1.93,20.2,43.99,5.87,5.92,5.87,69.0,15.0,7.0,91.0,6.0,1.0,1.0,1.0,0.0,9.0,67.0,63.0,78.0,6.0,12.0,190.0,49.0,46.0,44.0,60.0,17.0,7.0,1.7,2.15,2.07,0.0,4.0,2.0,91.0,84.0,84.0,42.0,0.75,0.17,0.17,6.5,6.5,6.49,332.99,38.59,30.67,68.78,10.98,201.71,105.28,36.93,38.59,36.93,348.0,108.0,149.0,605.0,49.0,33.0,6.0,73.0,14.0,161.0,126.0,299.0,407.0,12.0,22.0,211.0,17.0,20.0,61.0,313.0,95.0,48.0,8.49,11.1,19.0,10.0,14.0,25.0,605.0,456.0,456.0,2.0,7.83,6.98,6.98,39.43,39.43,38.18
PHI,2021,PHI,PHI,Team Level,5on4,80,0.83,0.85,0.83,22665.0,322.52,33.43,30.42,69.65,11.09,201.09,104.33,31.84,33.43,31.84,325.0,125.0,138.0,588.0,24.0,37.0,3.0,81.0,7.0,165.0,136.0,301.0,426.0,10.0,20.0,221.0,19.0,14.0,45.0,333.0,79.0,38.0,7.3,9.51,16.62,1.0,8.0,15.0,588.0,450.0,450.0,7.0,7.74,6.27,6.27,34.9,34.9,33.53,69.74,6.99,3.65,9.67,2.23,21.68,49.77,6.86,6.99,6.86,79.0,15.0,12.0,106.0,8.0,3.0,1.0,8.0,3.0,12.0,60.0,71.0,86.0,7.0,14.0,180.0,68.0,49.0,44.0,66.0,19.0,9.0,1.8,2.31,2.88,4.0,2.0,2.0,106.0,94.0,94.0,39.0,0.85,0.63,0.63,7.22,7.22,7.15
BOS,2021,BOS,BOS,Team Level,other,80,0.53,0.48,0.48,13123.0,148.95,35.74,9.81,26.56,4.96,72.49,51.44,30.58,35.74,30.58,148.0,53.0,57.0,258.0,31.0,13.0,1.0,28.0,5.0,64.0,60.0,117.0,170.0,11.0,22.0,162.0,41.0,28.0,33.0,107.0,44.0,50.0,4.14,5.59,26.01,6.0,7.0,18.0,258.0,201.0,201.0,15.0,2.93,4.85,4.95,33.72,33.72,31.0,155.47,32.28,10.72,28.26,5.13,84.1,54.64,31.48,32.28,31.48,155.0,62.0,66.0,283.0,24.0,10.0,2.0,30.0,5.0,77.0,71.0,131.0,193.0,5.0,10.0,150.0,48.0,24.0,31.0,117.0,55.0,45.0,4.39,6.8,21.08,4.0,2.0,18.0,283.0,217.0,217.0,11.0,3.05,2.43,2.43,32.77,32.77,32.19
BOS,2021,BOS,BOS,Team Level,all,80,0.54,0.54,0.55,290377.0,2731.29,253.35,183.46,626.82,88.49,1508.03,1111.18,240.31,255.92,242.7,2905.0,914.0,989.0,4808.0,246.0,194.0,47.0,745.0,91.0,1168.0,1375.0,2659.0,3573.0,329.0,727.0,2583.0,2132.0,517.0,659.0,2868.0,713.0,238.0,81.61,87.0,84.73,80.0,85.0,81.0,4871.01,3819.0,3863.68,295.0,40.33,42.98,43.1,247.38,249.4,241.96,2251.55,218.7,153.29,512.93,74.01,1260.5,926.67,210.26,218.13,209.72,2290.0,886.0,988.0,4164.0,213.0,141.0,35.0,593.0,92.0,972.0,1165.0,2077.0,2963.0,296.0,662.0,2189.0,2134.0,627.0,752.0,2375.0,585.0,216.0,66.44,70.83,81.42,68.0,64.0,81.0,4127.16,3176.0,3156.26,357.0,34.11,36.09,36.13,214.59,213.81,209.26
BOS,2021,BOS,BOS,Team Level,5on5,80,0.57,0.55,0.56,232325.0,2164.08,174.09,138.65,517.28,69.7,1189.67,895.22,168.4,176.67,170.8,2329.0,693.0,774.0,3796.0,170.0,156.0,39.0,639.0,72.0,890.0,1095.0,2159.0,2852.0,279.0,627.0,2004.0,1955.0,426.0,537.0,2324.0,549.0,149.0,65.78,66.69,41.63,64.0,61.0,45.0,3859.01,3022.0,3066.68,251.0,28.6,33.65,33.68,166.53,168.55,165.88,1684.99,131.05,108.97,407.17,55.88,951.61,707.69,127.66,130.48,127.12,1704.0,678.0,762.0,3144.0,141.0,97.0,21.0,483.0,70.0,703.0,888.0,1563.0,2241.0,258.0,582.0,1672.0,1976.0,534.0,609.0,1867.0,414.0,101.0,52.37,50.47,28.21,56.0,52.0,33.0,3107.16,2382.0,2362.26,309.0,22.42,21.1,21.14,130.96,130.19,128.6
BOS,2021,BOS,BOS,Team Level,4on5,80,0.11,0.14,0.16,23604.0,63.59,5.71,3.28,8.88,1.97,21.15,47.02,5.58,5.71,5.58,70.0,18.0,10.0,98.0,4.0,5.0,2.0,10.0,2.0,16.0,51.0,66.0,84.0,14.0,28.0,181.0,101.0,60.0,29.0,66.0,17.0,5.0,2.12,2.33,1.26,1.0,1.0,2.0,98.0,88.0,88.0,22.0,0.75,0.8,0.8,5.65,5.65,5.6,328.24,47.14,29.26,66.71,10.53,198.22,104.65,43.05,47.14,43.05,339.0,125.0,150.0,614.0,42.0,32.0,11.0,69.0,13.0,171.0,137.0,297.0,422.0,14.0,28.0,218.0,36.0,22.0,82.0,318.0,86.0,60.0,7.8,10.15,29.19,7.0,10.0,25.0,614.0,464.0,464.0,10.0,7.63,12.18,12.18,42.07,42.07,39.74
BOS,2021,BOS,BOS,Team Level,5on4,80,0.82,0.84,0.82,21325.0,354.67,37.81,31.72,74.09,11.86,224.74,117.5,35.75,37.81,35.75,358.0,150.0,148.0,656.0,41.0,20.0,5.0,68.0,12.0,198.0,169.0,317.0,467.0,25.0,50.0,236.0,35.0,3.0,60.0,371.0,103.0,34.0,9.58,12.4,15.83,9.0,16.0,16.0,656.0,508.0,508.0,7.0,8.06,3.68,3.68,41.47,41.47,39.47,82.85,8.22,4.35,10.78,2.47,26.55,59.69,8.07,8.22,8.07,92.0,21.0,10.0,123.0,6.0,2.0,1.0,11.0,4.0,21.0,69.0,86.0,107.0,19.0,42.0,149.0,74.0,47.0,30.0,73.0,30.0,10.0,1.87,3.41,2.93,1.0,0.0,5.0,123.0,113.0,113.0,27.0,1.0,0.38,0.38,8.78,8.78,8.73
CHI,2021,CHI,CHI,Team Level,other,80,0.43,0.5,0.47,9281.0,129.28,25.11,9.02,22.7,4.39,70.66,44.12,23.74,25.11,23.74,132.0,44.0,64.0,240.0,26.0,9.0,2.0,21.0,8.0,58.0,54.0,106.0,150.0,6.0,12.0,106.0,38.0,21.0,15.0,91.0,59.0,26.0,4.02,7.0,14.09,4.0,9.0,13.0,240.0,176.0,176.0,8.0,2.59,2.21,2.21,25.49,25.49,24.28,139.47,33.15,9.6,23.92,4.66,73.89,49.77,32.34,33.15,32.34,143.0,52.0,49.0,244.0,42.0,16.0,4.0,19.0,5.0,59.0,54.0,101.0,153.0,5.0,10.0,103.0,39.0,32.0,22.0,110.0,42.0,43.0,4.49,4.95,23.72,9.0,9.0,24.0,244.0,195.0,195.0,16.0,2.68,4.85,4.85,30.98,30.98,30.4
CHI,2021,CHI,CHI,Team Level,all,80,0.47,0.47,0.46,292151.0,2177.84,198.98,148.92,493.85,71.03,1246.0,895.22,191.81,199.24,192.03,2301.0,753.0,1117.0,4171.0,208.0,123.0,19.0,542.0,75.0,916.0,1190.0,2093.0,2846.0,256.0,574.0,2084.0,1992.0,578.0,716.0,2329.0,554.0,171.0,69.13,66.64,63.22,74.0,75.0,59.0,4126.95,3054.0,3036.11,524.0,32.66,27.09,27.31,204.33,204.35,199.8,2505.81,227.43,172.85,574.27,82.57,1426.94,1030.93,219.62,229.08,221.24,2627.0,888.0,1276.0,4791.0,283.0,181.0,36.0,521.0,78.0,1159.0,1293.0,2344.0,3232.0,283.0,636.0,2116.0,1946.0,649.0,779.0,2734.0,569.0,212.0,81.35,68.65,77.43,116.0,81.0,86.0,4866.43,3515.0,3556.59,552.0,37.63,41.39,41.39,223.67,225.28,220.81
CHI,2021,CHI,CHI,Team Level,5on5,80,0.46,0.46,0.46,238555.0,1685.2,129.76,110.1,403.68,55.04,961.45,712.97,126.56,130.02,126.78,1773.0,600.0,897.0,3270.0,138.0,95.0,13.0,439.0,47.0,682.0,972.0,1635.0,2235.0,227.0,511.0,1569.0,1849.0,483.0,595.0,1875.0,401.0,97.0,54.87,48.68,26.22,63.0,53.0,22.0,3225.95,2373.0,2355.11,456.0,22.58,18.87,19.2,133.15,133.16,131.65,1975.21,149.35,131.39,471.75,65.14,1131.47,828.89,144.77,150.99,146.39,2073.0,705.0,1046.0,3824.0,187.0,130.0,24.0,445.0,64.0,908.0,1044.0,1886.0,2591.0,256.0,577.0,1661.0,1792.0,538.0,667.0,2228.0,441.0,109.0,66.24,53.15,29.95,91.0,62.0,34.0,3899.43,2778.0,2819.59,482.0,26.98,26.75,26.98,149.34,150.96,148.65
